MALDIVES CUSTOMS SERVICE,,,,,,,
Tariff & Statistics Section,,,,,,,
,,,,,,,
,,,,,,,
Total Merchandise Exports in 2021 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 23/03/2022 ,,
,,,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) ,,
303420010,YELLOWFIN TUNA (FROZEN),KGM,JAPAN," 161,033.00 "," 4,474,557.60 ",,
303420010,YELLOWFIN TUNA (FROZEN),KGM,KOREAN REPUBLIC OF," 299,130.00 "," 7,511,256.90 ",,
303420010,YELLOWFIN TUNA (FROZEN),KGM,NETHERLANDS, 655.20 ," 20,136.09 ",,
303420010,YELLOWFIN TUNA (FROZEN),KGM,PHILIPPINES," 28,135.75 "," 263,650.86 ",,
303420010,YELLOWFIN TUNA (FROZEN),KGM,SERBIA," 27,000.00 "," 1,361,785.65 ",,
303420010,YELLOWFIN TUNA (FROZEN),KGM,SPAIN," 86,657.01 "," 652,814.17 ",,
303420010,YELLOWFIN TUNA (FROZEN),KGM,SRI LANKA," 88,266.00 "," 675,644.23 ",,
303420010,YELLOWFIN TUNA (FROZEN),KGM,THAILAND," 8,572,764.70 "," 193,994,949.66 ",,
303420010,YELLOWFIN TUNA (FROZEN),KGM,UNITED STATES," 75,481.17 "," 3,020,394.74 ",,
303420010,YELLOWFIN TUNA (FROZEN),KGM,VIETNAM," 164,556.21 "," 3,925,321.79 ",,
303420011,YELLOWFIN TUNA HEAD (FROZEN),KGM,PHILIPPINES," 2,624.00 "," 38,328.58 ",,
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,COLOMBIA," 53,669.89 "," 1,151,564.03 ",,
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,ECUADOR," 187,481.10 "," 4,099,195.63 ",,
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,ITALY, 396.34 ," 89,700.96 ",,
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,JAPAN," 2,049,153.00 "," 42,008,195.62 ",,
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,MAURITIUS," 1,870,925.21 "," 44,888,699.00 ",,
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,RUSSIA, 5.10 , 443.37 ,,
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,SPAIN," 286,505.28 "," 4,703,878.66 ",,
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,THAILAND," 42,408,353.30 "," 851,368,631.94 ",,
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,VIETNAM," 1,202,712.69 "," 25,424,020.66 ",,
303440010,BIGEYE TUNA (FROZEN),KGM,THAILAND," 102,519.00 "," 1,928,683.62 ",,
303490000,"FROZEN TUNAS, NES",KGM,UNITED ARAB EMIRATES," 1,500.00 "," 23,046.25 ",,
303490000,"FROZEN TUNAS, NES",KGM,UNITED STATES," 35,800.00 "," 550,392.26 ",,
303890099,FROZEN REEF FISH NES,KGM,CZECH REPUBLIC, 20.00 ," 1,989.94 ",,
304491010,FRESH OR CHILLED SKIPJACK FILLET,KGM,GERMANY, 5.15 , 267.45 ,,
304491010,FRESH OR CHILLED SKIPJACK FILLET,KGM,NETHERLANDS, 739.74 ," 250,095.00 ",,
304491010,FRESH OR CHILLED SKIPJACK FILLET,KGM,SRI LANKA," 6,250.00 "," 96,171.87 ",,
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,ARMENIA, 106.24 ," 23,343.23 ",,
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,BELGIUM, 162.30 ," 4,984.56 ",,
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,FRANCE, 595.12 ," 26,733.59 ",,
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,GERMANY," 18,337.77 "," 846,475.73 ",,
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,GREAT BRITAIN, 12.27 , 565.65 ,,
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,ITALY, 15.58 , 916.77 ,,
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,NETHERLANDS, 223.86 ," 7,911.94 ",,
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,RUSSIA, 79.81 ," 17,511.43 ",,
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,SWITZERLAND," 1,491.27 "," 354,054.64 ",,
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,THAILAND, 7.00 , 430.85 ,,
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,UNITED STATES," 2,987.50 "," 70,758.70 ",,
304491012,LONGFINNED TUNA FILLET (FRESH OR CHILLED),KGM,FRANCE, 86.67 ," 11,233.09 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,BELGIUM," 12,009.04 "," 1,342,506.69 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,CAMBODIA," 1,109.00 "," 110,857.35 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,CANADA," 15,116.99 "," 1,735,170.36 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,CZECH REPUBLIC," 1,539.60 "," 24,852.36 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,ECUADOR," 54,000.00 "," 1,282,195.91 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,FRANCE," 259,795.11 "," 27,452,936.38 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,GERMANY," 237,818.83 "," 14,533,560.27 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,GREAT BRITAIN," 82,635.88 "," 7,432,052.94 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,HONG KONG, 257.54 ," 38,096.63 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,IRELAND," 26,169.14 "," 2,170,910.40 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,ITALY," 90,258.88 "," 13,800,339.11 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,KOREAN REPUBLIC OF, 10.50 , 161.47 ,,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,NAMIBIA, 282.34 ," 2,172.41 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,NETHERLANDS," 121,688.53 "," 2,370,772.15 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,PHILIPPINES," 23,800.00 "," 340,119.64 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,POLAND," 36,087.79 "," 5,047,617.27 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SERBIA," 54,000.00 "," 2,742,638.39 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SINGAPORE, 65.29 ," 15,857.26 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SLOVENIA, 11.99 ," 3,177.38 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SOUTH AFRICA, 188.65 ," 4,348.47 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SPAIN," 14,224.48 "," 802,444.71 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SRI LANKA, 23.00 , 35.36 ,,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SWITZERLAND," 85,730.73 "," 16,182,997.32 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,THAILAND," 34,902.88 "," 1,234,732.04 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,TURKEY, 405.80 ," 31,230.37 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,UKRAINE, 268.94 ," 85,494.95 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,UNITED ARAB EMIRATES," 7,139.60 "," 1,154,471.38 ",,
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,UNITED STATES," 17,511.67 "," 563,523.42 ",,
304491014,LONGFINNED TUNA LOIN (FRESH OR CHILLED),KGM,CANADA, 592.70 ," 18,240.34 ",,
304491016,TUNA LOINS(RESH OR CHILLED),KGM,FRANCE," 4,010.00 "," 30,791.79 ",,
304491016,TUNA LOINS(RESH OR CHILLED),KGM,GERMANY, 350.00 ," 2,687.56 ",,
304491016,TUNA LOINS(RESH OR CHILLED),KGM,GREAT BRITAIN, 445.00 ," 3,417.04 ",,
304491016,TUNA LOINS(RESH OR CHILLED),KGM,ITALY," 2,343.14 "," 54,082.59 ",,
304491016,TUNA LOINS(RESH OR CHILLED),KGM,NETHERLANDS," 1,850.00 "," 17,430.76 ",,
304491016,TUNA LOINS(RESH OR CHILLED),KGM,SPAIN, 500.50 ," 11,552.32 ",,
304491016,TUNA LOINS(RESH OR CHILLED),KGM,SRI LANKA, 30.00 , 461.62 ,,
304491016,TUNA LOINS(RESH OR CHILLED),KGM,SWITZERLAND," 2,499.00 "," 19,189.20 ",,
304491016,TUNA LOINS(RESH OR CHILLED),KGM,THAILAND, 182.90 ," 3,780.54 ",,
304491016,TUNA LOINS(RESH OR CHILLED),KGM,UNITED ARAB EMIRATES, 151.82 ," 12,852.47 ",,
304491016,TUNA LOINS(RESH OR CHILLED),KGM,UNITED STATES," 1,304.45 "," 30,108.57 ",,
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,AUSTRALIA, 0.71 , 92.22 ,,
