MALDIVES CUSTOMS SERVICE,,,,,,,
Tariff & Statistics Section,,,,,,,
,,,,,,,
,,,,,,,
Total Merchandise Exports in 2021 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 23/03/2022 ,,
,,,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) ,,
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,UNITED ARAB EMIRATES, 33.79 ," 1,424.21 ",,
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,UNITED STATES," 56,365.90 "," 5,086,824.20 ",,
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,AUSTRALIA, 0.16 , 123.10 ,,
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,GERMANY," 111,720.00 "," 5,397,319.50 ",,
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,GREAT BRITAIN," 246,975.10 "," 16,234,142.05 ",,
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,INDIA, 90.72 ," 6,924.38 ",,
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,LIBYAN ARAB JAMAHIRIYA," 29,392.00 "," 2,067,391.53 ",,
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,MALAYSIA," 1,997.50 "," 79,216.67 ",,
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,NETHERLANDS," 27,456.00 "," 2,233,886.00 ",,
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,SINGAPORE, 423.64 ," 6,735.86 ",,
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,SRI LANKA," 1,842.33 "," 99,281.81 ",,
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,SWITZERLAND," 14,532.80 "," 974,476.98 ",,
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,UNITED STATES," 542,624.00 "," 40,012,048.57 ",,
1604160000,PREPARED OR PRESERVED ANCHOVIES (EXCL. MINCED),KGM,MALAYSIA, 17.95 ," 1,475.35 ",,
1604190099,"REEF FISH ( PREPARED , PRESERVED ) NES",KGM,SRI LANKA, 35.00 ," 1,344.16 ",,
1604190099,"REEF FISH ( PREPARED , PRESERVED ) NES",KGM,UNITED ARAB EMIRATES, 5.40 ," 1,107.90 ",,
1604201000,"OTHER PREPARED OR PRESERVED TUNA (OTHER THAN FISH IN WHOLE OR IN PIECES), NES",KGM,AUSTRALIA, 0.81 , 107.72 ,,
1604201000,"OTHER PREPARED OR PRESERVED TUNA (OTHER THAN FISH IN WHOLE OR IN PIECES), NES",KGM,MALAYSIA, 156.00 ," 18,354.79 ",,
1604201000,"OTHER PREPARED OR PRESERVED TUNA (OTHER THAN FISH IN WHOLE OR IN PIECES), NES",KGM,SINGAPORE, 5.10 , 876.45 ,,
1604201000,"OTHER PREPARED OR PRESERVED TUNA (OTHER THAN FISH IN WHOLE OR IN PIECES), NES",KGM,SRI LANKA," 1,122.70 "," 28,341.39 ",,
1604209000,"OTHER PREPARED OR PRESERVED FISH NOT IN WHOLE OR IN PIECES (OTHER THAN TUNA), NES",KGM,MALAYSIA, 19.00 , 845.32 ,,
1604209000,"OTHER PREPARED OR PRESERVED FISH NOT IN WHOLE OR IN PIECES (OTHER THAN TUNA), NES",KGM,SRI LANKA, 23.20 ," 1,998.80 ",,
1604311000,"CAVIAR OF TUNA,SKIPJACK OR STRIPE-BELLIED BONITO(CANNED,PREPARED,PRESERVED)",KGM,GERMANY," 25,692.80 "," 1,344,570.20 ",,
1702900010,JAGGERY,KGM,SRI LANKA, 1.70 , 307.30 ,,
1702900017,PALM SUGAR,KGM,AUSTRALIA, 0.74 , 92.20 ,,
1702900017,PALM SUGAR,KGM,MALAYSIA, 2.40 , 107.73 ,,
1704100000,CHEWING GUM,KGM,SRI LANKA, 2.82 ," 2,704.25 ",,
1704901110,SWEET AND SIMILAR SUGAR CONFECTIONERY,KGM,MALAYSIA, 0.10 , 15.37 ,,
1704901110,SWEET AND SIMILAR SUGAR CONFECTIONERY,KGM,SRI LANKA, 41.26 ," 4,832.28 ",,
1704901112,JELLY SUGAR CONFECTIONARIES (ALL FLAVOURS) IN PLASTIC PACKAGING,KGM,SRI LANKA, 2.86 ," 1,405.90 ",,
1704909099,"SUGAR CONFECTIONERY ,NES (EXCL. SWEET & SIMILAR CONFECTIONERY) NOT CONTAINING ALCOHOL",KGM,SRI LANKA, 1.00 , 61.46 ,,
1806100000,"COCOA POWDER, CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",KGM,MALAYSIA, 0.30 , 92.22 ,,
1806100000,"COCOA POWDER, CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER",KGM,SRI LANKA, 1.90 , 714.46 ,,
1806901100,"SWEETS AND SUGAR CONFECTIONERY CONTAINING COCOA, NOT IN BLOACKS, SLABS OR BARS, NES",KGM,SRI LANKA, 0.71 , 353.40 ,,
1806909011,"CHOCOLATE,ETC,CONTAINING COCOA,NOT IN BLOCKS,SLABS OR BARS,NES",KGM,SRI LANKA, 27.02 ," 5,838.68 ",,
1901209010,"MIXES & DOUGH FOR PREPARATION OF BAKERS'WARES OF 19.05, NES",KGM,SRI LANKA, 0.83 , 384.12 ,,
1901909010,CUSTARD POWDER,KGM,SRI LANKA, 1.79 , 291.95 ,,
1901909013,PREPARED PUDDING,KGM,MALAYSIA, 626.00 , 123.10 ,,
1901909016,PAPADAM,KGM,SRI LANKA, 4.16 , 361.08 ,,
1901909099,"MALT EXTRACT;FOOD PREPARATIONS OF FLOUR, GROATS,ETC & OF HEADINGS 04.01 TO 04.04 ,NES",KGM,MALAYSIA, 12.00 , 614.67 ,,
1901909099,"MALT EXTRACT;FOOD PREPARATIONS OF FLOUR, GROATS,ETC & OF HEADINGS 04.01 TO 04.04 ,NES",KGM,SRI LANKA, 0.50 , 61.46 ,,
1902190011,NOODLES (OTHER),KGM,MALAYSIA, 25.00 ," 1,490.91 ",,
1902190011,NOODLES (OTHER),KGM,SINGAPORE, 7.20 , 9.98 ,,
1902190011,NOODLES (OTHER),KGM,SRI LANKA, 52.61 ," 1,720.87 ",,
1902190012,SPAGHETTI (OTHER),KGM,SRI LANKA, 3.50 , 537.78 ,,
1902301000,OTHER PASTA (CONTAINING SWINE),KGM,SRI LANKA, 3.00 , 276.57 ,,
1902309011,VERMICELLI,KGM,SRI LANKA, 0.40 , 92.19 ,,
1902309099,OTHER PASTA (NOT ELSE WHERE SPECIFIED),KGM,SRI LANKA, 8.75 , 760.57 ,,
1902409000,COUSCOUS EXCL SWINE,KGM,SRI LANKA, 1.00 , 215.11 ,,
1904100013,"RICE KRISPIES & SIMILAR FOODS OBTAINED BY CEREALS, NES",KGM,MALAYSIA, 0.25 , 230.81 ,,
1904100099,CEREAL PRODUCTS,KGM,SRI LANKA, 1.84 , 768.25 ,,
1904901099,PREPARD FOODS OBTND BY SWELLING OR ROASTING OF CEREALS/CEREAL PRODUCTS (CONT.SWINE/WINE),KGM,SINGAPORE, 95.00 , 730.91 ,,
1904909099,"PREPARED FOODS OBTAINED BY SWELLING OR ROASTING OF CEREALS OR CEREAL PRODUCTS, NES",KGM,MALAYSIA, 19.40 , 609.06 ,,
1904909099,"PREPARED FOODS OBTAINED BY SWELLING OR ROASTING OF CEREALS OR CEREAL PRODUCTS, NES",KGM,SRI LANKA, 461.85 ," 11,581.33 ",,
1904909099,"PREPARED FOODS OBTAINED BY SWELLING OR ROASTING OF CEREALS OR CEREAL PRODUCTS, NES",KGM,SWITZERLAND, 2.50 , 414.61 ,,
1904909099,"PREPARED FOODS OBTAINED BY SWELLING OR ROASTING OF CEREALS OR CEREAL PRODUCTS, NES",KGM,UNITED STATES, 5.93 , 192.07 ,,
1905310000,SWEET BISCUITS,KGM,MALAYSIA, 0.35 , 215.18 ,,
1905310000,SWEET BISCUITS,KGM,SRI LANKA, 46.96 ," 3,417.23 ",,
1905320099,WAFFLES AND WAFERS,KGM,SRI LANKA, 0.35 , 752.88 ,,
1905400000,"RUSKS, TOASTED BREAD AND SIMILAR TOASTED PRODUCTS",KGM,MALAYSIA, 0.80 , 104.63 ,,
1905909000,"OTHER BREAD,ETC,NES,COMMUNION WAFERS,RICE PAPER,ETC",KGM,AUSTRALIA, 50.51 ," 2,431.55 ",,
1905909000,"OTHER BREAD,ETC,NES,COMMUNION WAFERS,RICE PAPER,ETC",KGM,MALAYSIA, 153.98 ," 8,852.31 ",,
1905909000,"OTHER BREAD,ETC,NES,COMMUNION WAFERS,RICE PAPER,ETC",KGM,SRI LANKA, 55.59 ," 2,927.04 ",,
1905909000,"OTHER BREAD,ETC,NES,COMMUNION WAFERS,RICE PAPER,ETC",KGM,UNITED STATES, 0.74 , 119.54 ,,
2001900000,"OTHER VEGETABLES, FRUITS, ETC, PRESERVED BY VINEGAR OR ACETIC ACID, NES",KGM,AUSTRALIA, 1.01 , 44.56 ,,
2001900000,"OTHER VEGETABLES, FRUITS, ETC, PRESERVED BY VINEGAR OR ACETIC ACID, NES",KGM,MALAYSIA, 1.10 , 61.51 ,,
2001900000,"OTHER VEGETABLES, FRUITS, ETC, PRESERVED BY VINEGAR OR ACETIC ACID, NES",KGM,SRI LANKA, 4.00 , 307.49 ,,
2001900000,"OTHER VEGETABLES, FRUITS, ETC, PRESERVED BY VINEGAR OR ACETIC ACID, NES",KGM,UNITED STATES, 2.01 , 101.57 ,,
2004100000,"POTATOES,PRESERVED NOT BY VINEGAR/ACETIC ACID,FROZEN (EXCL.PRODS. OF 2006)",KGM,MALAYSIA, 2.00 , 30.78 ,,
2005100000,"HOMOGENIZED VEGETABLES, PREPARED OR  PRESERVED OTHER THAN BY VINEGAR .., NOT FROZEN",KGM,MALAYSIA, 247.20 ," 1,300.25 ",,
2005990000,"OTHER VEGETABLES PREPARED OR PRESERVED OTHER THAN BY VINEGAR ..., NOT FROZEN, NES",KGM,AUSTRALIA, 58.82 ," 2,884.25 ",,
2005990000,"OTHER VEGETABLES PREPARED OR PRESERVED OTHER THAN BY VINEGAR ..., NOT FROZEN, NES",KGM,MALAYSIA, 278.60 ," 18,495.97 ",,
2005990000,"OTHER VEGETABLES PREPARED OR PRESERVED OTHER THAN BY VINEGAR ..., NOT FROZEN, NES",KGM,SINGAPORE, 2.00 , 248.95 ,,
2005990000,"OTHER VEGETABLES PREPARED OR PRESERVED OTHER THAN BY VINEGAR ..., NOT FROZEN, NES",KGM,SRI LANKA, 163.50 ," 15,664.27 ",,
2005990000,"OTHER VEGETABLES PREPARED OR PRESERVED OTHER THAN BY VINEGAR ..., NOT FROZEN, NES",KGM,SWITZERLAND, 0.75 , 92.14 ,,
2005990000,"OTHER VEGETABLES PREPARED OR PRESERVED OTHER THAN BY VINEGAR ..., NOT FROZEN, NES",KGM,UNITED ARAB EMIRATES, 0.50 , 15.40 ,,
2005990000,"OTHER VEGETABLES PREPARED OR PRESERVED OTHER THAN BY VINEGAR ..., NOT FROZEN, NES",KGM,UNITED STATES, 3.20 , 174.54 ,,
2006000099,"VEGETABLES, FRUIT, NUTS, FRUIT PEEL, NES (PRESERVED BY SUGAR)",KGM,SRI LANKA, 9.00 ," 1,352.12 ",,
2007990015,JAM (OTHER THAN CITRUS FRUIT) IN PLASTIC PACKAGING,KGM,SRI LANKA, 1.02 , 368.76 ,,
2007990020,JAM (OTHER THAN CITRUS FRUIT) IN PACKAGING OTHER THAN PLASTICS,KGM,SRI LANKA, 3.13 , 318.83 ,,
2008110011,PEANUT BUTTER IN PLASTIC PACKAGING,KGM,SRI LANKA, 4.40 , 676.06 ,,
2008191010,ARECANUT (FLAVOURED),KGM,AUSTRALIA, 2.00 , 153.75 ,,
2008191010,ARECANUT (FLAVOURED),KGM,MALAYSIA, 71.86 ," 16,922.89 ",,
2008191010,ARECANUT (FLAVOURED),KGM,SRI LANKA, 8.70 , 691.65 ,,
2008191010,ARECANUT (FLAVOURED),KGM,SWITZERLAND, 2.20 , 506.75 ,,
2008191099,"OTHER MIXTURES OF NUTS, NES",KGM,SRI LANKA, 1.20 , 92.34 ,,
2008199012,NUT (MIXED) EDIBLE ( OTHER THAN ARECANUT ),KGM,SRI LANKA, 0.20 , 46.10 ,,
2008199099,"OTHER NUTS AND OTHER SEEDS WHETHER OR NOT MIXED TOGETHER, NES",KGM,MALAYSIA, 5.10 , 261.29 ,,
2008990000,"OTHER FRUIT, ETC, PREPARED OR PRESERVED, NES",KGM,AUSTRALIA, 0.30 , 15.39 ,,
2008990000,"OTHER FRUIT, ETC, PREPARED OR PRESERVED, NES",KGM,MALAYSIA, 1.50 , 69.24 ,,
2009199010,ORANGE JUICE (LIQUID),LTR,MALAYSIA, 1.00 , 61.48 ,,
2009799012,APPLE JUICE (LIQUID) NOT CONTAINING ALCOHOL IN PLASTIC PACKAGING,LTR,SRI LANKA, 2.84 , 230.48 ,,
2009899033,OTHER JUICES OF SINGLE FRUIT (POWDER) NOT CONTAINING ALCOHOL IN OTHER PACKAGING,KGM,SRI LANKA, 2.25 , 215.11 ,,
2009899090,OTHER JUICES OF SINGLE FRUIT (POWDER) NOT CONTAINING ALCOHOL IN PLASTIC PACKAGING,KGM,SRI LANKA, 0.50 , 61.46 ,,
2009909017,MIXTURES OF JUICES (POWDER) NOT CONTAINING ALCOHOL IN PLASTIC PACKAGING,KGM,SRI LANKA, 1.12 , 138.28 ,,
2101120000,PREPARATIONS WITH A BASIS OF EXTRACT/ESSENCE ETC... OR WITH A BASIS OF COFFEE,KGM,MALAYSIA, 0.15 , 92.22 ,,
2101120000,PREPARATIONS WITH A BASIS OF EXTRACT/ESSENCE ETC... OR WITH A BASIS OF COFFEE,KGM,SRI LANKA, 31.68 ," 7,345.99 ",,
2103200011,TOMATO SAUCE,KGM,SRI LANKA, 0.70 , 88.34 ,,
2103901011,MAYONNAISE,KGM,MALAYSIA, 0.40 , 61.55 ,,
2103901011,MAYONNAISE,KGM,SRI LANKA, 0.89 , 30.73 ,,
2103901016,CHILLIE SAUCE,KGM,MALAYSIA, 12.10 , 472.48 ,,
2103901016,CHILLIE SAUCE,KGM,SRI LANKA, 2.15 , 599.23 ,,
2103901099,"SAUCES, MIXED CONDIMENTS, SEASONINGS & OTHER PREPARATIONS , NES",KGM,MALAYSIA, 2.25 , 346.22 ,,
2103901099,"SAUCES, MIXED CONDIMENTS, SEASONINGS & OTHER PREPARATIONS , NES",KGM,SINGAPORE, 0.65 , 248.95 ,,
2103901099,"SAUCES, MIXED CONDIMENTS, SEASONINGS & OTHER PREPARATIONS , NES",KGM,SWITZERLAND, 3.05 , 503.67 ,,
2104109099,"SOUPS AND BROTHS AND OTHER PREPARATIONS,NES.",LTR,UNITED STATES, 1.40 , 60.23 ,,
2105000011,ICED LOLLY POP,KGM,SRI LANKA, 2.52 , 414.86 ,,
2106901300,SNACKS,KGM,MALAYSIA, 82.20 ," 3,673.18 ",,
2106901300,SNACKS,KGM,SRI LANKA, 14.70 ," 1,782.57 ",,
2106909027,VITAMINS,KGM,SRI LANKA, 0.15 , 46.10 ,,
2106909095,FOOD PREPARATIONS NES,LTR,MALAYSIA, 0.00 , 92.22 ,,
2106909095,FOOD PREPARATIONS NES,LTR,SINGAPORE, 0.70 , 49.76 ,,
2106909098,"FOOD PREPARATIONS, NES",NMB,MALAYSIA, 13.00 , 645.54 ,,
2106909099,"FOOD PREPARATIONS, NES",KGM,AUSTRALIA, 4.36 , 584.20 ,,
2106909099,"FOOD PREPARATIONS, NES",KGM,MALAYSIA, 6.35 , 633.97 ,,
2106909099,"FOOD PREPARATIONS, NES",KGM,SRI LANKA, 0.84 , 61.46 ,,
2106909099,"FOOD PREPARATIONS, NES",KGM,UNITED STATES, 1.86 , 90.65 ,,
2201100024,MINERAL WATERS IN GLASS PACKAGING,LTR,SRI LANKA, 3.00 , 46.07 ,,
2201901000,OTHER UNSWEETENED WATERS;ICE AND SNOW,LTR,HONG KONG, 305.00 , 722.07 ,,
2201901000,OTHER UNSWEETENED WATERS;ICE AND SNOW,LTR,SRI LANKA, 375.00 , 502.86 ,,
2201909000,OTHER UNSWEETENED WATERS;ICE AND SNOW,TNE,SRI LANKA, 45.82 ," 1,279.27 ",,
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,BANGLADESH," 2,436,159.38 "," 38,779,038.71 ",,
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,INDONESIA," 1,444,000.00 "," 7,354,849.03 ",,
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,JAPAN," 2,170.00 "," 73,363.55 ",,
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,SRI LANKA," 130,161.00 "," 2,034,928.48 ",,
2309909010,FISH FOOD,KGM,BANGLADESH," 57,000.00 "," 920,941.88 ",,
2309909099,"ANIMAL FOOD (OTHER THAN FISH FOOD, CAT FOOD AND AGRI. FEEDS AND SUPPLEMENTS ),NES",KGM,BANGLADESH," 135,000.00 "," 1,806,185.30 ",,
2501000011,TABLE SALT AND OTHER SALT USED FOR CULINARY PURPOSE,KGM,SRI LANKA, 0.20 , 92.19 ,,
2505900014,"NATURAL SAND (EXCL, RIVER SAND)",TNE,UNITED ARAB EMIRATES, 0.14 , 615.12 ,,
2505900015,WHITE SAND,TNE,CHINA, 0.27 ," 1,539.20 ",,
2505900015,WHITE SAND,TNE,INDIA, 0.70 ," 5,801.09 ",,
2505900015,WHITE SAND,TNE,NETHERLANDS, 1.00 , 153.88 ,,
2521000000,LIMESTONE FLUX; LIMESTONE AND OTHER CALCAREOUS STONE,KGM,CHINA, 226.00 ," 1,539.20 ",,
2523290011,PORTLAND CEMENT,TNE,SEYCHELLES," 2,660.00 "," 3,952,273.50 ",,
2526200000,"NATURAL STEATITE, TALC, CRUSHED OR POWDERED",KGM,SRI LANKA, 1.00 , 245.84 ,,
2710191023,HYDRAULIC BRAKE FLUID (CONTAINING MORE THAN 70% OR MORE PETROLEUM OIL),LTR,TURKEY, 10.00 , 374.71 ,,
2710990000,"WASTE OIL, NES",TNE,INDIA," 98,234.57 "," 1,221,264.97 ",,
2712100000,PETROLEUM JELLY ( CRUDE ),KGM,SRI LANKA, 2.68 ," 1,075.56 ",,
2715000000,"BITUMINOUS MIXTURES BASED ON NATURL ASPHALT, ON NATURL BITUMIN OR PETROL BITUMIN,MINL...",KGM,INDIA," 32,400.00 "," 165,861.00 ",,
2905310000,ETHYLENE GLYCOL (ETHANEDIOL),LTR,SRI LANKA, 5.00 , 7.69 ,,
3004200010,MEDICAMENT CONTAINING ANTIBIOTICS,KGM,MALAYSIA, 0.16 , 30.73 ,,
3004500017,BALM,KGM,MALAYSIA, 0.01 , 30.74 ,,
3004500017,BALM,KGM,SRI LANKA, 0.42 , 430.22 ,,
3004900011,MEDICAMENTS NES,LTR,SRI LANKA, 0.84 , 430.22 ,,
3101000011,ORGANIC FERTILISERS,KGM,INDIA, 996.00 ," 7,662.98 ",,
3209900000,"PAINTS AND VARNISHES, IN AN AQUEOUS MEDIUM, NES",LTR,SRI LANKA, 175.00 ," 6,463.83 ",,
3301900010,ROSE WATER,LTR,SRI LANKA, 1.00 , 30.73 ,,
3303001000,BODY SPRAY & COLOGNE,LTR,SRI LANKA, 22.24 ," 6,219.00 ",,
3303009000,PERFUMES (EAU DE TOILETE & EAU DE PERFUME),LTR,MALAYSIA, 0.05 , 46.11 ,,
3303009000,PERFUMES (EAU DE TOILETE & EAU DE PERFUME),LTR,SRI LANKA, 6.27 ," 3,364.94 ",,
3304109000,LIP MAKE-UP PREPARATIONS,NMB,SRI LANKA, 1.00 , 30.73 ,,
3304200010,EYE MAKE -UP PREPARATIONS,NMB,SRI LANKA, 1.00 , 92.19 ,,
3304200012,EYE MAKE-UP REMOVER,LTR,MALAYSIA, 0.03 , 30.74 ,,
3304910000,"POWDERS, WHETHER OR NOT COMPRESSED, FOR COSMETIC/TOILET USE",KGM,SRI LANKA, 3.03 , 883.49 ,,
3304991011,"BEAUTY & SKIN-CARE (INCL SUNTAN),OTHER THAN LUXURY,NES",KGM,MALAYSIA, 0.15 , 184.44 ,,
3304991014,LOTIONS IN PLASTIC PACKAGING,KGM,MALAYSIA, 0.03 , 76.83 ,,
3304991014,LOTIONS IN PLASTIC PACKAGING,KGM,SRI LANKA, 17.64 ," 5,440.73 ",,
3304991015,"OTHER BEAUTY AND MAKEUP (INCL. SUNTAN), OTHER THAN LUXURY, NES IN PLASTIC PACKAGING",KGM,MALAYSIA, 0.39 , 617.74 ,,
3304991015,"OTHER BEAUTY AND MAKEUP (INCL. SUNTAN), OTHER THAN LUXURY, NES IN PLASTIC PACKAGING",KGM,SOUTH AFRICA, 8.00 , 122.92 ,,
3304991015,"OTHER BEAUTY AND MAKEUP (INCL. SUNTAN), OTHER THAN LUXURY, NES IN PLASTIC PACKAGING",KGM,SRI LANKA, 1.91 , 921.89 ,,
3304991022,"BEAUTY AND MAKEUP (INCL. SUNTAN), OTHER THAN LUXURY, NES IN OTHER PACKAGING, NES",KGM,SRI LANKA, 0.78 , 395.64 ,,
3304999014,"LUXURY BEAUTY, MAKE-UP PREPARATIONS, NES (IN PLASTIC PACKAGING)",KGM,SOUTH AFRICA, 1.00 , 30.73 ,,
3304999014,"LUXURY BEAUTY, MAKE-UP PREPARATIONS, NES (IN PLASTIC PACKAGING)",KGM,SRI LANKA, 0.30 , 76.82 ,,
3304999020,"LUXURY BEAUTY, MAKE-UP PREPARATIONS, NES (IN OTHER THAN PLASTIC PACKAGING)",KGM,UNITED ARAB EMIRATES, 19.83 ," 7,114.47 ",,
3305100010,SHAMPOOS IN PLASTIC PACKAGING,LTR,MALAYSIA, 1.75 , 107.57 ,,
3305100010,SHAMPOOS IN PLASTIC PACKAGING,LTR,SRI LANKA, 13.70 ," 3,620.00 ",,
3305901015,"OTHER PREPARATIONS FOR USE ON HAIR (OTHER THAN LUXURY), NES IN PLASTIC PACKAGING",KGM,MALAYSIA, 0.15 , 95.28 ,,
3305901015,"OTHER PREPARATIONS FOR USE ON HAIR (OTHER THAN LUXURY), NES IN PLASTIC PACKAGING",KGM,SRI LANKA, 0.60 , 119.85 ,,
3305909011,"OTHER LUXURY PREPARATIONS USED FOR HAIR DYEING OR HAIR COLORING, NES",KGM,MALAYSIA, 0.05 , 92.20 ,,
3305909011,"OTHER LUXURY PREPARATIONS USED FOR HAIR DYEING OR HAIR COLORING, NES",KGM,SRI LANKA, 4.19 ," 1,095.51 ",,
3306100000,DENTIFRICE,KGM,MALAYSIA, 0.70 , 215.13 ,,
3306100000,DENTIFRICE,KGM,SRI LANKA, 2.40 , 568.51 ,,
3306900010,"PREPARATIONS FOR ORAL OR DENTAL HYGIENE,(INCL DENTURE FIXATIVE),NES",LTR,SRI LANKA, 0.15 , 61.46 ,,
3307100010,AFTER SHAVE PREPARATIONS,LTR,MALAYSIA, 0.03 , 30.73 ,,
3307200000,PERSONAL DEODORANTS AND ANTIPERSPIRANTS,KGM,SRI LANKA, 0.10 , 30.73 ,,
3401110000,"SOAP AND ORGANIC SURFACE-ACTIVE PRODUCTS IN BARS, ETC, FOR TOILET USE",KGM,SRI LANKA, 8.39 ," 2,389.28 ",,
3401200013,SOAP IN LIQUID FORMS IN PLASTIC PACKAGING,LTR,SOUTH AFRICA, 33.00 ," 10,140.90 ",,
3401200014,HAND CLEANSER IN PLASTIC PACKAGING,KGM,SRI LANKA, 3.80 , 714.47 ,,
3401300010,"ORGANIC SURFACE-ACTIVE AGENTS, WHETHER OR NOT CONTAINING SOAP IN PLASTIC PACKAGING",LTR,MALAYSIA, 0.08 , 69.15 ,,
3401300010,"ORGANIC SURFACE-ACTIVE AGENTS, WHETHER OR NOT CONTAINING SOAP IN PLASTIC PACKAGING",LTR,SRI LANKA, 4.80 , 660.69 ,,
3402200010,DETERGENT POWDER,KGM,SRI LANKA, 4.80 , 207.42 ,,
3402200015,DISH WASHING LIQUID,LTR,SRI LANKA, 3.90 , 338.03 ,,
3402200099,OTHER WASHING AND CLEANING PREPERATIONS PUT UP FOR RETAIL SALE NES,LTR,SRI LANKA, 0.13 , 46.10 ,,
3402900099,CLEANING LIQUID (NOT SPECIFIED),LTR,SRI LANKA, 0.60 , 138.28 ,,
3405100012,"POLISHES , CREAMS & SIMILAR PREPARATIONS FOR FOOTWEAR OR LEATHER",NMB,MALAYSIA, 1.00 , 107.57 ,,
3406000010,"CANDLES, TAPERS & THE LIKE",NMB,SOUTH AFRICA, 3.00 , 138.28 ,,
3808911100,INSECTICIDES USED FOR KILLING OR REPELLING MOSQUITOES (INCLUDING MOSQUITO COILS),KGM,SRI LANKA, 0.15 , 92.19 ,,
3822000012,DIAGNOSTIC / LAB REAGENT,NMB,SRI LANKA, 5.00 , 384.25 ,,
3915900000,"WASTE, PARINGS AND SCRAP, OF OTHER PLASTICS, NES",KGM,TAIWAN," 315,000.00 "," 1,255,036.22 ",,
3917310010,HOSE (FLEXIBLE) OF PVC,MTR,SRI LANKA, 3.60 , 414.86 ,,
3919100010,TAPE ADHESIVE OF PLASTIC,NMB,SRI LANKA, 1.00 , 30.73 ,,
3919900012,CELLOTAPE,NMB,SRI LANKA, 2.00 , 92.19 ,,
3923109000,"BOXES, CASES, CRATES AND SIMILAR ARTICLES OF PLASTICS (OTHER THAN SINGLE USE)",NMB,SRI LANKA, 3.00 , 460.94 ,,
3923291000,"OTHER PLASTIC SACKS AND BAGS, NES (OTHER THAN FOOD PACKING)",NMB,SRI LANKA, 100.00 , 76.82 ,,
3923300000,"CARBOYS, BOTTLES, FLASKS AND SIMILAR ARTICLES OF PLASTICS",NMB,SRI LANKA, 5.00 , 184.39 ,,
3923500000,"STOPPERS, LIDS, CAPS AND OTHER CLOSURES OF PLASTICS",NMB,SRI LANKA, 2.00 , 61.46 ,,
3924109011,PLATES FOR FOOD OF PLASTICS OTHER THAN SINGLE USE,NMB,SRI LANKA, 18.00 , 353.39 ,,
3924109099,OTHER TABLEWARE AND KITCHENWARE OF PLASTICS (OTHER THAN DISPOSABLE),NMB,SOUTH AFRICA, 1.00 , 76.82 ,,
3924109099,OTHER TABLEWARE AND KITCHENWARE OF PLASTICS (OTHER THAN DISPOSABLE),NMB,SRI LANKA, 13.00 , 603.84 ,,
3924109099,OTHER TABLEWARE AND KITCHENWARE OF PLASTICS (OTHER THAN DISPOSABLE),NMB,UNITED ARAB EMIRATES," 10,000.00 "," 30,775.00 ",,
3924900010,"HOUSEHOLD AND TOILET ARTICLES OF PLASTICS, NES",NMB,SOUTH AFRICA, 25.00 , 384.12 ,,
3924900010,"HOUSEHOLD AND TOILET ARTICLES OF PLASTICS, NES",NMB,SRI LANKA, 15.00 , 84.51 ,,
3924900032,BABY FEEDING BOTTLE TEAT / NIPPLE (PLASTIC),NMB,SRI LANKA, 1.00 , 92.19 ,,
3925909099,"BUILDERS' WARE OF PLASTIC,NES",NMB,SRI LANKA, 5.00 , 322.67 ,,
3926100000,OFFICE OR SCHOOL SUPPLIES OF PLASTICS,NMB,MALAYSIA, 2.00 , 122.93 ,,
3926100000,OFFICE OR SCHOOL SUPPLIES OF PLASTICS,NMB,SRI LANKA, 3.00 , 23.05 ,,
3926200000,ARTICLES OF APPAREL AND CLOTHING ACCESSORIES OF PLASTICS,NMB,SRI LANKA, 21.00 , 372.60 ,,
