MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2018 ,,,* Subjected to Post Modification,, Updated on :  04/07/2019 
,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
303420010,YELLOWFIN TUNA (FROZEN),KGM,GERMANY, 22.00 ," 1,354.98 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,SINGAPORE, 58.00 ," 1,786.40 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,SPAIN," 165,863.50 "," 3,860,277.74 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,FRANCE," 45,506.60 "," 1,178,176.90 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,GREAT BRITAIN, 172.74 ," 5,318.65 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,KOREAN REPUBLIC OF," 100,000.00 "," 5,452,400.97 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,NETHERLANDS," 39,679.95 "," 520,306.70 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,THAILAND," 5,028,021.60 "," 147,381,619.71 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,UNITED ARAB EMIRATES, 335.60 ," 30,997.36 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,VIETNAM," 248,443.49 "," 8,593,115.89 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,HONG KONG, 45.10 ," 2,388.23 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,JAPAN," 120,000.00 "," 4,987,656.00 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,UNITED STATES," 98,441.96 "," 2,556,896.34 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,COSTA RICA," 239,671.50 "," 12,232,266.31 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,ITALY, 577.05 ," 17,766.64 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,PHILIPPINES," 115,694.51 "," 1,505,599.09 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,RUSSIA, 35.20 ," 11,379.98 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,SRI LANKA," 3,402.00 "," 73,347.12 "
303420011,YELLOWFIN TUNA HEAD (FROZEN),KGM,FRANCE, 79.37 ," 2,445.39 "
303420011,YELLOWFIN TUNA HEAD (FROZEN),KGM,PHILIPPINES," 3,529.35 "," 19,560.43 "
303420012,"YELLOWFIN TUNA SKIN EDIBLE (FROZEN) ""THUNNUS ALABACARES""",KGM,GREAT BRITAIN, 32.51 ," 1,000.98 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,KOREAN REPUBLIC OF," 520,000.00 "," 14,401,508.31 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,MAURITIUS," 46,590.26 "," 1,226,030.97 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,SPAIN," 862,597.80 "," 24,601,858.31 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,VIETNAM," 488,182.70 "," 11,026,823.81 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,SRI LANKA," 4,800.00 "," 73,920.00 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,THAILAND," 35,942,082.60 "," 858,327,030.03 "
303440010,BIGEYE TUNA (FROZEN),KGM,VIETNAM," 61,631.00 "," 2,747,378.36 "
303440010,BIGEYE TUNA (FROZEN),KGM,SRI LANKA," 20,000.00 "," 473,611.86 "
303460000,FROZEN OR CHILLED SOUTHERN BLUEFIN TUNAS (THUNNUS MACCOYII),KGM,VIETNAM, 500.00 ," 11,546.25 "
303490000,"FROZEN TUNAS, NES",KGM,THAILAND," 74,021.00 "," 1,466,097.93 "
303490000,"FROZEN TUNAS, NES",KGM,VIETNAM," 286,129.32 "," 9,022,195.29 "
303570000,FROZEN SWORDFISH (XIPHIAS GLADIUS),KGM,CHINA," 20,471.00 "," 315,202.22 "
303570000,FROZEN SWORDFISH (XIPHIAS GLADIUS),KGM,TAIWAN," 25,000.00 "," 1,586,619.12 "
303570000,FROZEN SWORDFISH (XIPHIAS GLADIUS),KGM,SRI LANKA," 25,159.00 "," 542,428.04 "
303570000,FROZEN SWORDFISH (XIPHIAS GLADIUS),KGM,THAILAND," 17,665.00 "," 380,822.51 "
303570000,FROZEN SWORDFISH (XIPHIAS GLADIUS),KGM,UNITED STATES, 127.00 ," 3,909.06 "
303570000,FROZEN SWORDFISH (XIPHIAS GLADIUS),KGM,VIETNAM," 363,521.60 "," 12,829,651.50 "
303590000,"FROZEN INDIAN MACKERELS, SEERFISHES, JACKS, CREVALLES, SILVER POMFRETS, ... NES",KGM,VIETNAM," 81,794.57 "," 1,617,015.73 "
303590000,"FROZEN INDIAN MACKERELS, SEERFISHES, JACKS, CREVALLES, SILVER POMFRETS, ... NES",KGM,SRI LANKA," 53,926.00 "," 1,117,513.73 "
303890010,FROZEN GROUPER,KGM,MALAYSIA, 93.58 ," 1,440.90 "
303890012,FROZEN MARLIN,KGM,SRI LANKA," 147,923.00 "," 3,701,954.84 "
303890012,FROZEN MARLIN,KGM,THAILAND, 981.00 ," 30,204.99 "
