MALDIVES CUSTOMS SERVICE,,,,,
 Statistics and Records Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2024 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 26/1/2025 
,,,,,
HSCODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,THAILAND," 25,599 "," 196,857 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,UNITED ARAB EMIRATES, 74 ," 1,141 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,UNITED STATES," 23,118 "," 177,827 "
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,FRANCE, 242 ," 1,859 "
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,GERMANY, 424 ," 3,265 "
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,UNITED STATES," 21,543 "," 165,871 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,GERMANY, 22 , 169 
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,UNITED STATES," 18,128 "," 139,482 "
304870018,BIGEYE TUNA LOIN (FROZEN),KGM,THAILAND," 120,000 "," 2,412,689 "
304870019,FROZEN LOINS OF SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,GERMANY, 188 ," 1,449 "
304870099,"OTHER FROZEN FISH FILLETS AND MEATS OF TUNAS, NES",KGM,ITALY, 4 , 211 
304991010,FROZEN FISH MEAT OF TUNAS (CARBON MONOXIDE (CO) TREATED),KGM,MONTENEGRO," 3,509 "," 27,008 "
304991010,FROZEN FISH MEAT OF TUNAS (CARBON MONOXIDE (CO) TREATED),KGM,TAIWAN," 5,904 "," 90,892 "
304991010,FROZEN FISH MEAT OF TUNAS (CARBON MONOXIDE (CO) TREATED),KGM,THAILAND," 10,998 "," 169,314 "
304991010,FROZEN FISH MEAT OF TUNAS (CARBON MONOXIDE (CO) TREATED),KGM,UNITED STATES," 18,144 "," 139,640 "
304991099,"FROZEN FISH MEAT OF TUNAS, NES",KGM,COSTA RICA," 21,285 "," 1,464,379 "
304991099,"FROZEN FISH MEAT OF TUNAS, NES",KGM,GERMANY, 9 , 485 
304991099,"FROZEN FISH MEAT OF TUNAS, NES",KGM,ITALY, 5 , 282 
304991099,"FROZEN FISH MEAT OF TUNAS, NES",KGM,PORTUGAL," 8,200 "," 63,079 "
