MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2022 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 25/01/2023 
,,,,,
HSCODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
303420010,YELLOWFIN TUNA (FROZEN),KGM,UNITED ARAB EMIRATES, 89.00 ," 4,110.46 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,UNITED STATES," 46,736.77 "," 2,219,066.90 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,VIETNAM," 154,328.53 "," 3,979,158.60 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,AZERBAIJAN, 3.76 , 40.46 
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,COSTA RICA," 150,469.50 "," 5,385,217.31 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,FRANCE," 180,000.00 "," 16,893,586.44 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,HONG KONG," 189,180.00 "," 4,080,126.86 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,JAPAN," 200,900,364.91 "," 13,227,201.27 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,MAURITIUS," 5,390,496.56 "," 122,412,551.74 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,PHILIPPINES," 108,000.00 "," 2,263,760.36 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,SPAIN," 349,790.17 "," 7,438,000.12 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,THAILAND," 46,621,225.50 "," 1,029,435,219.01 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,TURKEY," 27,047.20 "," 748,571.71 "
303430000,FROZEN SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,VIETNAM," 82,241,155.95 "," 20,422,574.11 "
303440010,BIGEYE TUNA (FROZEN),KGM,SPAIN," 25,000.00 "," 276,930.00 "
303440010,BIGEYE TUNA (FROZEN),KGM,THAILAND," 120,942.00 "," 2,557,210.10 "
303490000,"FROZEN TUNAS, NES",KGM,MALAYSIA, 80.00 ," 9,447.92 "
303590000,"FROZEN INDIAN MACKERELS, ... BONITOS, MARLINS, SAILFISHES & SPEARFISH NES",KGM,RUSSIA, 533.39 ," 79,737.10 "
303890010,FROZEN GROUPER,KGM,RUSSIA, 47.34 ," 6,257.33 "
303890099,FROZEN REEF FISH NES,KGM,RUSSIA, 660.05 ," 86,527.91 "
304491010,FRESH OR CHILLED SKIPJACK FILLET,KGM,SRI LANKA," 7,652.00 "," 79,292.05 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,FRANCE, 266.98 ," 12,323.11 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,GERMANY," 8,246.27 "," 398,870.61 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,ITALY, 10.28 , 533.87 
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,NETHERLANDS, 8.29 , 382.80 
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,SWITZERLAND, 308.15 ," 69,691.87 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,UNITED STATES," 22,720.00 "," 174,802.01 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,ARMENIA, 150.33 ," 6,939.61 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,BELGIUM," 18,799.01 "," 2,694,590.48 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,CANADA," 1,283.24 "," 115,630.19 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,COSTA RICA," 25,000.00 "," 2,032,296.37 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,CZECH REPUBLIC, 362.28 ," 27,941.44 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,DENMARK, 100.73 ," 19,293.32 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,FRANCE," 188,899.72 "," 22,330,743.89 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,GERMANY," 122,521.89 "," 9,127,945.71 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,GREAT BRITAIN," 45,795.68 "," 3,909,299.10 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,IRELAND," 4,460.00 "," 212,771.96 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,ITALY," 241,803.03 "," 15,679,997.75 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,KOREAN REPUBLIC OF, 113.94 ," 7,891.94 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,NETHERLANDS," 12,353.23 "," 1,646,229.41 "
