Maldives Customs Service,,,,,,
TARIFF & STATISTICS SECTION,,,,,,
,,,,,,
,,,,,,
Total Exports In 2016,,,,Date 20/09/2017,,
,,,,,,
HS CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB (MVR) ,RATE
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,Great Britain," 413,470.64 "," 44,337,263.61 ",15
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,Greece, 309.24 ," 33,919.24 ",15
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,Ireland," 114,365.93 "," 9,570,345.68 ",15
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,Italy," 401,802.50 "," 47,489,983.24 ",15
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,Japan, 195.07 ," 7,487.46 ",15
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,Netherlands," 121,261.28 "," 14,768,722.18 ",15
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,New Taiwan," 2,344.68 "," 163,501.03 ",15
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,Norway," 1,645.98 "," 573,001.31 ",15
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,Poland," 11,012.49 "," 1,448,075.71 ",15
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),KGM,SINGAPORE, 364.86 ," 71,694.48 ",15
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,Spain," 9,758.79 "," 962,323.19 ",15
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,Sri Lanka," 9,662.02 "," 319,994.89 ",15
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,Switzerland," 45,043.50 "," 9,887,035.58 ",15
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,Thailand," 7,471.64 "," 1,002,689.40 ",15
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),KGM,UKRAINE, 30.10 ," 2,313.18 ",15
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,United Arab Emirates," 12,149.45 "," 1,180,959.75 ",15
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILED),KGM,United States," 52,375.39 "," 1,900,985.49 ",15
304491015,Skipjack Loin (Fresh Or Chilled),KGM,SINGAPORE, 60.14 ," 2,884.40 ",15
304491017,BIGEYE TUNA LOINS (FRESH OR CHILLED),KGM,France," 11,767.30 "," 1,886,169.72 ",15
304491017,Bigeye Tuna Loins (Fresh Or Chilled),KGM,GREAT BRITAIN, 849.86 ," 71,819.54 ",15
