MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2017,,* Provisional/Subjected to Post Modification,,, Updated on : 07/05/2018 
,,,,,
CODE,HSDESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB (MVR) 
302890010,FRESH OR CHILLED GROUPER,KGM,HONG KONG," 165,139.40 "," 9,307,780.55 "
302890010,FRESH OR CHILLED GROUPER,KGM,NEW TAIWAN," 572,613.00 "," 35,365,749.98 "
302890010,FRESH OR CHILLED GROUPER,KGM,SINGAPORE, 8.00 , 562.85 
302890011,FRESH OR CHILLED MARLIN (THALALAPATH)(HIBARU),KGM,SRI LANKA, 399.00 ," 10,737.69 "
302890011,FRESH OR CHILLED MARLIN (THALALAPATH)(HIBARU),KGM,UNITED STATES," 1,038.95 "," 47,936.27 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,CANADA, 81.00 ," 2,489.54 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,CZECH REPUBLIC," 1,138.90 "," 77,506.94 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,GERMANY, 163.53 ," 5,031.81 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,UNITED STATES," 2,334.39 "," 97,113.22 "
302990000,OTHER FRESH OR CHILLED EDIBLE FISH OFFAL NES,KGM,PHILIPPINES," 22,477.73 "," 399,648.71 "
303410000,FROZEN ALBACORE OR LONGFINNED TUNAS,KGM,VIETNAM," 1,761.00 "," 15,084.20 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,CHINA," 15,000.00 "," 207,798.75 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,COSTA RICA," 95,495.40 "," 3,168,281.30 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,GERMANY, 99.34 ," 3,059.67 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,GREAT BRITAIN," 11,392.10 "," 724,948.58 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,HONG KONG, 16.14 , 248.56 
303420010,YELLOWFIN TUNA (FROZEN),KGM,ITALY," 5,000.00 "," 216,829.80 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,JAPAN," 46,700.00 "," 2,018,929.50 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,PHILIPPINES," 6,077.83 "," 149,463.58 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,SPAIN," 288,647.00 "," 10,141,913.09 "
