MALDIVES CUSTOMS SERVICE,,,,,
Statistics & Records Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2023 ,,,* Subjected to Post Modification,, Updated on : 24/4/2024 
,,,,,
HSCODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,SWITZERLAND, 341.87 ," 51,979.92 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,UNITED ARAB EMIRATES," 1,314.88 "," 20,238.63 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,UNITED STATES," 9,554.52 "," 73,520.99 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,BELGIUM," 18,845.61 "," 2,421,865.23 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,CANADA," 1,267.59 "," 78,612.32 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,CZECH REPUBLIC, 323.91 ," 51,079.42 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,DENMARK, 80.55 ," 12,365.65 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,FRANCE," 265,496.47 "," 26,090,954.44 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,GERMANY," 132,350.50 "," 9,263,337.02 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,GREAT BRITAIN," 9,422.22 "," 470,014.62 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,HONG KONG, 707.91 ," 154,151.11 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,IRELAND," 1,813.80 "," 71,205.47 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,ITALY," 72,860.29 "," 8,489,500.05 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,KOREAN REPUBLIC OF, 14.96 , 624.07 
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,NETHERLANDS," 19,303.39 "," 1,071,368.92 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,PHILIPPINES," 8,421.00 "," 301,296.19 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,POLAND," 21,090.55 "," 2,144,052.70 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,PORTUGAL, 353.12 ," 76,840.42 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,QATAR," 1,877.80 "," 28,893.39 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SPAIN," 5,004.24 "," 93,165.25 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SRI LANKA, 51.20 ," 2,363.90 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,SWITZERLAND," 59,633.58 "," 10,038,037.75 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,THAILAND, 227.42 ," 10,493.15 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,UNITED ARAB EMIRATES," 7,044.59 "," 823,706.71 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,UNITED STATES," 38,399.74 "," 2,180,823.33 "
304491016,TUNA LOINS(RESH OR CHILLED),KGM,SPAIN, 985.01 ," 15,161.77 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,BELGIUM, 185.82 ," 26,381.67 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,CANADA, 126.17 ," 6,015.43 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,CZECH REPUBLIC, 174.50 ," 33,152.78 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,DENMARK," 4,722.79 "," 73,629.10 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,FRANCE," 299,616.46 "," 19,800,661.00 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,GERMANY," 458,899.96 "," 12,395,529.18 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,GREAT BRITAIN," 3,520.37 "," 105,529.28 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,HONG KONG, 152.86 ," 18,134.40 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,ITALY," 253,230.43 "," 32,513,128.43 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,JAPAN, 8.35 , 64.32 
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,NETHERLANDS," 76,728.81 "," 2,521,894.92 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,POLAND," 15,885.91 "," 1,720,426.32 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,QATAR," 4,601.53 "," 35,401.05 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SOUTH AFRICA, 52.20 , 401.48 
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SPAIN," 5,766.40 "," 69,997.41 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SRI LANKA, 79.85 ," 4,118.70 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,SWITZERLAND," 187,519.90 "," 9,907,965.52 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,THAILAND, 102.56 ," 28,875.87 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,UNITED ARAB EMIRATES," 16,022.88 "," 2,662,457.65 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,UNITED STATES," 32,935.60 "," 763,824.96 "
304491020,MINCED YELLOWFIN TUNA (FRESH OR CHILLED),KGM,UNITED STATES," 40,553.62 "," 312,043.57 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,FRANCE," 3,878.71 "," 552,444.09 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,GERMANY," 5,852.62 "," 270,954.66 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,HONG KONG, 39.62 ," 3,047.02 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,SPAIN, 66.95 ," 1,507.49 "
304491099,TUNA FILLETS (FRESH OR CHILLED) NES,KGM,GERMANY, 11.34 , 589.08 
304491099,TUNA FILLETS (FRESH OR CHILLED) NES,KGM,ITALY, 26.77 ," 1,390.54 "
304499011,FRESH OR CHILLED GROUPER FILLET,KGM,GERMANY, 3.28 , 151.34 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,FRANCE," 9,735.01 "," 473,800.90 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,GERMANY, 43.11 ," 1,492.60 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,GREAT BRITAIN, 20.60 , 317.00 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,HONG KONG, 12.30 , 945.87 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,ITALY, 387.11 ," 20,064.95 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,KOREAN REPUBLIC OF, 2.00 , 61.57 
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,ITALY, 10.26 , 651.34 
304870011,YELLOWFIN TUNA FILLET (FROZEN),KGM,UNITED STATES," 33,986.70 "," 261,552.70 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,FRANCE," 292,490.79 "," 13,797,018.90 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,GERMANY," 46,172.00 "," 4,291,056.03 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,ITALY," 24,741.08 "," 2,373,681.07 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,MALAYSIA, 100.00 ," 7,139.10 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,NETHERLANDS," 54,000.00 "," 415,368.00 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,POLAND," 10,612.00 "," 1,001,306.14 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,SERBIA," 61,045.21 "," 469,644.12 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,SPAIN," 2,050.89 "," 81,138.90 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,SRI LANKA," 25,456.49 "," 195,830.24 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,THAILAND," 175,226.62 "," 2,912,366.26 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,UNITED STATES," 1,363.64 "," 10,490.48 "
304870013,BELLY FLAP (BIGEYE TUNA) FROZEN,KGM,SPAIN," 9,675.00 "," 573,537.63 "
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,PHILIPPINES," 30,700.00 "," 236,052.63 "
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,SPAIN," 105,585.00 "," 1,949,678.82 "
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,MALAYSIA, 60.00 ," 3,692.64 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,SPAIN, 288.90 ," 4,445.45 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,TAIWAN," 5,672.73 "," 43,640.39 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,UNITED STATES," 3,200.00 "," 24,617.60 "
304870020,FRESH OR CHILLED FILLETS OF TUNAS (CARBON MONOXIDE (CO) TREATED),KGM,QATAR, 100.00 ," 1,538.25 "
304870020,FRESH OR CHILLED FILLETS OF TUNAS (CARBON MONOXIDE (CO) TREATED),KGM,UNITED STATES," 39,080.00 "," 300,671.76 "
304991010,FROZEN FISH MEAT OF TUNAS (CARBON MONOXIDE (CO) TREATED),KGM,UNITED STATES," 88,614.10 "," 681,857.69 "
305491010,SKIPJACK (SMOKED),KGM,SRI LANKA, 40.25 ," 2,133.06 "
305491011,TUNA (SMOKED),KGM,SRI LANKA, 27.22 ," 2,314.71 "
305491013,"FISH CHIPS (SKIPJACK,TUNA) SMOKED",KGM,MALAYSIA, 15.05 , 661.60 
305499017,"MARLIN (SMOKED)""THALAPATHA""(HIBARU)",KGM,SRI LANKA," 42,938.50 "," 463,506.00 "
305540000,"DRIED SWORDFISH, BONITOS, MARLINS, SAILFISHES, SPEARFISH ETC (EXCL. SMOKED)",KGM,SRI LANKA," 106,559.30 "," 1,120,656.15 "
305591010,SKIPJACK (DRIED),KGM,MALAYSIA, 33.55 ," 2,208.93 "
305591010,SKIPJACK (DRIED),KGM,SRI LANKA," 867,540.45 "," 10,106,977.15 "
305591011,SKIPJACK (SALTED DRIED),KGM,SRI LANKA," 57,054.50 "," 484,964.97 "
305591012,TUNA (DRIED),KGM,SRI LANKA," 11,203.55 "," 93,625.31 "
305591013,"BELLY FLAP (TUNA) SALTED, DRIED",KGM,JAPAN, 104.00 ," 4,399.40 "
305591014,"BELLY FLAP (YELLOWFIN TUNA) SALTED, DRIED",KGM,JAPAN, 536.00 ," 22,681.08 "
305591015,"TUNA SALTED ,DRIED",KGM,JAPAN, 30.00 ," 2,061.78 "
305591015,"TUNA SALTED ,DRIED",KGM,SRI LANKA," 2,475.00 "," 38,084.06 "
305591016,"SKIPJACK TUNA BELLY FLAP(DRIED,SALTED IN BRINE)",KGM,JAPAN, 504.00 ," 21,323.20 "
305591018,YELLOWFIN TUNA (SALTED DRIED),KGM,SRI LANKA," 9,930.00 "," 130,730.60 "
305591020,FISH CHIPS (SKIPJACK TUNA) DRIED,KGM,JAPAN," 200,881.26 "," 31,052,508.34 "
305591020,FISH CHIPS (SKIPJACK TUNA) DRIED,KGM,MALAYSIA, 1.20 , 62.77 
305591020,FISH CHIPS (SKIPJACK TUNA) DRIED,KGM,SRI LANKA," 1,000.00 "," 15,387.50 "
305591021,DOG TOOTH TUNA (SALTED) KERAWALLA (VOSHIMAS),KGM,SRI LANKA," 1,117.00 "," 1,954.10 "
305599010,"REEF FISH (SALTED DRIED) ""MULLET""(HULHUN'BU MAS)",KGM,SRI LANKA," 21,408.00 "," 195,459.95 "
305599011,"VAHOO (SALTED DRIED) ""SEER"" (KURUMAS)",KGM,SRI LANKA," 4,718.00 "," 52,667.55 "
305599012,"RAINBOW RUNNER (SALTED DRIED)""LENA PARAWA""(MAANIYA MAS)",KGM,SRI LANKA," 12,896.00 "," 137,539.92 "
305599013,"JACK (SALTED DRIED) ""PARAWA""(FANIHAN'DHI)",KGM,SRI LANKA," 1,170.00 "," 18,001.98 "
305599015,"DOLPHIN FISH(SALTED DRIED)""VANNA"" (FIYALA)",KGM,SRI LANKA, 745.00 ," 5,308.54 "
305599020,REEF FISH DRIED (WHETHER OR NOT SALTED),KGM,SRI LANKA," 8,575.00 "," 86,183.61 "
305599099,DRIED FISH (WHETHER OR NOT SALTED BUT NOT SMOKED) NOT SPECIFIED,KGM,SRI LANKA," 14,679.90 "," 156,247.70 "
306331000,CRABS ( LIVE ),NMB,HONG KONG," 5,561.22 "," 121,739.26 "
306361000,OTHER SHRIMPS & PRAWNS (LIVE),NMB,SRI LANKA, 15.00 , 115.38 
306950000,"OTHER SHRIMPS AND PRAWNS, NES (EXCL LIVE FRESH, CHILLED OR FROZEN)",KGM,SRI LANKA, 1.75 , 76.96 
307911000,"OTHER MOLLUSCS (LIVE), NES",NMB,CZECH REPUBLIC, 956.00 ," 7,355.09 "
307911000,"OTHER MOLLUSCS (LIVE), NES",NMB,SPAIN, 593.00 ," 4,562.40 "
308119000,SEA CUCUMBER (FRESH OR CHILLED),KGM,HONG KONG," 1,295.00 "," 19,939.76 "
308119000,SEA CUCUMBER (FRESH OR CHILLED),KGM,SINGAPORE, 390.00 ," 38,490.77 "
308119000,SEA CUCUMBER (FRESH OR CHILLED),KGM,UNITED STATES, 275.00 ," 21,161.25 "
308190010,"SEA CUCUMBER (FROZEN,SMOKED,SALTED OR IN BRINE)",KGM,HONG KONG, 420.00 ," 64,612.80 "
308190011,SEA CUCUMBER (DRIED),KGM,HONG KONG," 52,469.02 "," 1,546,362.29 "
308190011,SEA CUCUMBER (DRIED),KGM,MALAYSIA," 15,611.10 "," 388,108.99 "
308190011,SEA CUCUMBER (DRIED),KGM,PAKISTAN, 71.00 ," 3,573.10 "
308190011,SEA CUCUMBER (DRIED),KGM,SINGAPORE," 8,357.77 "," 487,024.02 "
308190011,SEA CUCUMBER (DRIED),KGM,SRI LANKA," 1,890.40 "," 58,149.43 "
308190011,SEA CUCUMBER (DRIED),KGM,UNITED STATES," 2,354.25 "," 180,810.46 "
308901000,OTHER AQUATIC INVERTEBRATE (LIVE),NMB,CZECH REPUBLIC, 115.00 , 884.76 
308901000,OTHER AQUATIC INVERTEBRATE (LIVE),NMB,SPAIN, 217.00 ," 1,669.34 "
309100000,"FLOURS, MEALS AND PALLETS OF FISH FIT FOR HUMAN CONSUMPTION",KGM,BANGLADESH," 882,275.00 "," 12,048,752.07 "
309100000,"FLOURS, MEALS AND PALLETS OF FISH FIT FOR HUMAN CONSUMPTION",KGM,SRI LANKA," 91,450.00 "," 1,547,905.57 "
510000010,AMBERGRIS,KGM,UNITED ARAB EMIRATES," 5,316.00 "," 95,439.82 "
712900099,VEGETABLES ( DRIED ) NOT SPECIFIED,KGM,MALAYSIA, 0.05 , 7.69 
802800000,ARECA NUTS (FRESH OR DRIED),KGM,MALAYSIA, 2.20 , 676.83 
802990000,NUTS (FRESH OR DRIED) NOT SPECIFIED,KGM,BAHRAIN," 1,702.00 "," 261,909.98 "
