MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2019 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 04/04/2020 
6505000000,"HATS & OTHER HEADGEAR,KNITTED OR CROCHETED, MADE FROM LACE,ETC;HAIR-NETS OF ANY MATERIAL",NMB,Ireland, 50.00 , 153.85 
6505000000,"HATS & OTHER HEADGEAR,KNITTED OR CROCHETED, MADE FROM LACE,ETC;HAIR-NETS OF ANY MATERIAL",NMB,Japan, 170.00 , 523.09 
6505000000,"HATS & OTHER HEADGEAR,KNITTED OR CROCHETED, MADE FROM LACE,ETC;HAIR-NETS OF ANY MATERIAL",NMB,Russia, 50.00 , 153.85 
7204290000,WASTE AND SCRAP OF ALLOY STEEL (EXCL. STAINLESS),KGM,India," 9,022,000.00 "," 14,108,377.70 "
7204290000,WASTE AND SCRAP OF ALLOY STEEL (EXCL. STAINLESS),KGM,Malaysia," 627,000.00 "," 800,060.00 "
7404000000,COPPER WASTE AND SCRAP,KGM,India," 23,035,000.00 "," 4,211,542.80 "
7602000000,ALUMINIUM WASTE AND SCRAP,KGM,India," 99,300.00 "," 775,809.12 "
8480490010,MOULDS (FOR METALS),NMB,India, 1.00 ," 153,860.00 "
8505190000,PERMANENT MAGNETS AND ARTICLES BECOMING PERMANENT MAGNETS (EXCL. METAL),NMB,Malaysia, 300.00 ," 1,154.40 "
8548100000,"WASTE/SCRAP OF PRIMARY CELLS/BATTERIES/ACCUM;SPENT PRIMARY CELLS,BATTERIES",TNE,Korean Republic of, 25.00 ," 307,600.00 "
9608991000,OTHER PEN AND PENCILS,NMB,Great Britain, 54.00 ," 68,495.83 "
301110000,LIVE FRESHWATER ORNAMENTAL FISH,NMB,Netherlands, 591.00 ," 4,544.79 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Canada, 45.00 , 346.16 
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Hong Kong," 8,698.00 "," 118,944.53 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Italy, 233.00 ," 1,785.24 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Sri Lanka," 226,949.00 "," 1,748,799.16 "
301990010,GROUPER (LIVE ),NMB,Taiwan, 607.00 ," 17,010.52 "
301990099,"OTHER LIVE FISH, NES",NMB,Hong Kong, 552.00 ," 84,925.20 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Australia," 25,228.37 "," 3,158,848.38 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Germany," 37,325.32 "," 2,616,717.92 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Ireland," 4,755.49 "," 318,223.55 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Norway, 216.75 ," 13,330.12 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,United States," 1,091,425.50 "," 71,544,877.07 "
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,Germany, 6.32 , 194.53 
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,United States," 21,951.70 "," 1,291,141.08 "
302890010,FRESH OR CHILLED GROUPER,KGM,Canada, 428.50 ," 64,796.59 "
302890010,FRESH OR CHILLED GROUPER,KGM,Hong Kong," 369,750.00 "," 16,878,521.88 "
302890012,FRESH OR CHILLED SEER (KURUMAS),KGM,Germany, 102.20 ," 3,144.69 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,Germany, 88.56 ," 2,725.13 "
302890013,REEF FISH (FRESH OR CHILLED),KGM,Ukraine, 17.61 , 541.39 
303420010,YELLOWFIN TUNA (FROZEN),KGM,Belgium, 300.00 ," 6,925.50 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,France," 82,499.30 "," 2,804,132.58 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,Korean Republic of," 130,000.00 "," 6,070,336.27 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,Malaysia, 100.00 ," 4,000.10 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,Thailand," 7,305,489.32 "," 215,448,782.86 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,Vietnam," 513,910.40 "," 16,379,922.46 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,Philippines," 7,100.00 "," 247,471.20 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,Vietnam," 1,450,323.30 "," 32,277,875.70 "
303570000,FROZEN SWORDFISH (XIPHIAS GLADIUS),KGM,Taiwan," 22,042.00 "," 474,685.49 "
303590000,"FROZEN INDIAN MACKERELS, ... BONITOS, MARLINS, SAILFISHES & SPEARFISH NES",KGM,Taiwan," 21,972.70 "," 378,250.06 "
303890010,FROZEN GROUPER,KGM,Serbia," 2,076.00 "," 187,109.57 "
303890011,FROZEN REEF FISH USED AS BAIT,KGM,Sri Lanka," 12,000.00 "," 166,212.00 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,France," 10,461.60 "," 736,296.27 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,Great Britain," 1,242.50 "," 38,244.15 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Austria, 427.64 ," 13,154.44 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Germany," 429,609.13 "," 35,174,627.25 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Ireland," 109,139.63 "," 9,235,543.91 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Japan," 2,110.88 "," 159,209.00 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Serbia," 3,016.00 "," 248,449.02 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Spain," 7,191.68 "," 252,831.58 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,United States," 71,429.92 "," 4,113,369.62 "
304491016,TUNA LOINS(RESH OR CHILLED),KGM,Spain, 468.62 ," 12,848.91 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Germany," 320,411.48 "," 35,509,430.98 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Norway, 102.28 ," 20,453.19 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,United States," 74,376.95 "," 5,887,566.79 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,France, 140.00 ," 18,415.52 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,Great Britain," 34,469.23 "," 2,668,792.50 "
304491099,TUNA FILLETS (FRESH OR CHILLED) NES,KGM,Singapore, 51.03 ," 3,141.41 "
304591012,BELLY FLAP (BIGEYE TUNA) FRESH OR CHILLED,KGM,United States, 979.00 ," 30,123.51 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,Germany," 4,368.28 "," 358,732.95 "
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,Great Britain, 27.06 , 832.37 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,Spain, 2.60 , 80.01 
304591013,BELLY FLAP (YELLOWFIN TUNA) FRESH OR CHILLED,KGM,United Arab Emirates, 2.28 , 87.62 
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,Malaysia, 500.00 ," 38,450.00 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,Sri Lanka," 78,000.00 "," 2,485,220.09 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,Switzerland, 10.94 , 366.84 
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,Thailand," 370,928.00 "," 33,189,102.83 "
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,Costa rica," 40,000.00 "," 1,609,704.28 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,Sri Lanka," 19,500.00 "," 512,052.57 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,United States," 1,458.00 "," 3,676,603.17 "
304870099,OTHER FROZEN FISH FILLETS OF TUNA NES,KGM,France," 72,000.00 "," 7,534,944.00 "
305540000,"DRIED SWORDFISH, BONITOS, MARLINS, SAILFISHES, SPEARFISH ETC (EXCL. SMOKED)",KGM,Sri Lanka," 6,484.00 "," 135,474.10 "
305591010,SKIPJACK (DRIED),KGM,Hong Kong, 140.00 ," 2,152.50 "
305591010,SKIPJACK (DRIED),KGM,Japan," 46,756.00 "," 7,349,792.59 "
305591010,SKIPJACK (DRIED),KGM,Kenya," 1,250.00 "," 19,240.00 "
305591018,YELLOWFIN TUNA (SALTED DRIED),KGM,Sri Lanka," 9,275.00 "," 461,489.77 "
305599099,DRIED FISH (WHETHER OR NOT SALTED BUT NOT SMOKED) NOT SPECIFIED,KGM,Sri Lanka," 16,051.00 "," 339,566.22 "
308190011,SEA CUCUMBER (DRIED),KGM,Sri Lanka," 14,952.71 "," 450,743.58 "
308190011,SEA CUCUMBER (DRIED),KGM,United States, 316.55 ," 87,577.26 "
709600010,CHILLIES( FRESH OR CHILLED ),KGM,United Arab Emirates, 50.00 ," 4,768.10 "
1604140010,"OTHER TUNA (PREPARED, PRESERVED), NES",KGM,Great Britain," 246,869.15 "," 14,488,707.19 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,Singapore, 19.25 , 92.28 
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,South Africa," 14,532.80 "," 1,118,008.30 "
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,Australia," 23,133.60 "," 2,906,383.03 "
1604140014,"YELLOWFIN TUNA (CANNED, PREPARED & PRESERVED)",KGM,United States," 1,118,478.34 "," 84,256,375.05 "
2710990000,"WASTE OIL, NES",TNE,India, 208.40 ," 713,029.56 "
3822000012,DIAGNOSTIC / LAB REAGENT,NMB,India, 32.00 ," 3,938.56 "
3924100000,"TABLEWARE AND KITCHENWARE OF PLASTICS,NES",NMB,France, 300.00 ," 1,152.90 "
3924100000,"TABLEWARE AND KITCHENWARE OF PLASTICS,NES",NMB,Spain," 1,000.00 "," 3,845.62 "
3926909010,"ARTICLES OF PLASTIC,NES",NMB,Ireland, 50.00 , 192.31 
3926909010,"ARTICLES OF PLASTIC,NES",NMB,Norway, 60.00 , 230.78 
4202120000,"TRUNKS, SUIT-CASES..., ETC, WITH OUTER SURFACE OF PLASTIC OR TEXTILES",NMB,France, 800.00 ," 3,689.28 "
4202320000,"ARTICLES NORMALLY CARRIED IN POCKET OR HANDBAG, OF SHEETING OF PLASTICS OR TEXTILES",NMB,Belarus, 100.00 , 461.56 
4202320000,"ARTICLES NORMALLY CARRIED IN POCKET OR HANDBAG, OF SHEETING OF PLASTICS OR TEXTILES",NMB,Finland, 120.00 , 369.24 
4202320000,"ARTICLES NORMALLY CARRIED IN POCKET OR HANDBAG, OF SHEETING OF PLASTICS OR TEXTILES",NMB,Sweden, 120.00 , 369.24 
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,France, 900.00 ," 2,766.96 "
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,Malaysia," 2,750.00 "," 8,459.60 "
4420100000,"STATUETTES AND OTHER ORNAMENTS, OF WOOD",NMB,Great Britain, 10.00 ," 14,846.52 "
4420900000,"WOOD MARQUETRY,INLAID WOOD;CASKETS AND SIMILAR CASES OF WOOD, NES",NMB,Malaysia, 10.00 ," 8,492.52 "
4817300011,PAPER BOX (NEW),NMB,Malaysia, 38.00 , 146.22 
4817300011,PAPER BOX (NEW),NMB,Singapore, 38.00 , 146.25 
4820100000,"REGISTERS, ACCOUNT BOOKS,ORDER AND RECEIPT BOOKS, NOTE BOOKS, LETTER PADS OF PAPER",NMB,Malaysia, 120.00 , 369.41 
4823900012,"ARTICLES OF PAPER,NES",NMB,Germany, 200.00 , 615.30 
4823900012,"ARTICLES OF PAPER,NES",NMB,Spain, 120.00 , 369.18 
4901100000,"PRINTED BOOKS, BROCHURES, LEAFLETS, ETC, IN SINGLE SHEETS",NMB,Italy, 440.00 ," 1,461.42 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,Denmark, 280.00 , 861.56 
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,France," 1,600.00 "," 3,689.28 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,Great Britain, 490.00 ," 1,507.73 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,Malaysia," 3,000.00 "," 8,915.76 "
4911990000,"OTHER PRINTED MATTER, NES",NMB,Belarus, 52.00 , 160.00 
4911990000,"OTHER PRINTED MATTER, NES",NMB,Finland, 160.00 , 338.47 
4911990000,"OTHER PRINTED MATTER, NES",NMB,Italy, 170.00 , 523.01 
4911990000,"OTHER PRINTED MATTER, NES",NMB,Russia, 52.00 , 160.00 
4911990000,"OTHER PRINTED MATTER, NES",NMB,Singapore, 400.00 ," 1,231.50 "
4911990000,"OTHER PRINTED MATTER, NES",NMB,Sweden, 160.00 , 338.47 
4911990000,"OTHER PRINTED MATTER, NES",NMB,Turkey, 200.00 , 615.30 
6204490000,"DRESSES OF OTHER TEXTILES, NES",NMB,Great Britain, 10.00 ," 34,877.80 "
6506990000,"HATS AND OTHER HEADGEAR, NES",NMB,Spain, 50.00 , 115.37 
9004100000,SUNGLASSES,NMB,Austria," 40,000.00 "," 3,078.00 "
9206000011,DRUM,NMB,Germany, 2.00 ," 7,695.00 "
9404290000,"MATTRESSES OF MATERIALS, NES",NMB,Czech Republic, 2.00 , 615.00 
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Great Britain," 92,311.00 "," 2,807,423.77 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Japan," 4,328.00 "," 50,074.15 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Netherlands," 7,016.00 "," 53,961.48 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Thailand," 3,159.00 "," 23,648.92 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,United States," 37,876.00 "," 1,165,429.47 "
301990099,"OTHER LIVE FISH, NES",NMB,Sri Lanka," 3,805.00 "," 29,283.77 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Austria, 80.59 ," 2,479.92 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Belgium," 42,503.24 "," 3,399,958.50 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Great Britain," 38,089.61 "," 2,386,718.89 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Hong Kong, 225.72 ," 11,418.61 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Japan," 9,452.10 "," 492,030.73 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Malaysia, 29.00 , 446.46 
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Spain," 302,885.68 "," 17,211,753.00 "
302470000,FRESH OR CHILLED SWORDFISH (XIPHIAS GLADIUS),KGM,United States, 489.00 ," 15,044.09 "
302890010,FRESH OR CHILLED GROUPER,KGM,Germany, 829.30 ," 25,532.57 "
302890010,FRESH OR CHILLED GROUPER,KGM,Singapore," 4,769.60 "," 758,066.24 "
302890012,FRESH OR CHILLED SEER (KURUMAS),KGM,Canada, 17.36 , 534.17 
302890013,REEF FISH (FRESH OR CHILLED),KGM,France, 11.92 , 366.55 
302890013,REEF FISH (FRESH OR CHILLED),KGM,Netherlands," 2,216.62 "," 68,192.52 "
303410000,FROZEN ALBACORE OR LONGFINNED TUNAS,KGM,Vietnam," 1,477.00 "," 22,738.42 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,Spain," 180,000.00 "," 5,839,285.26 "
303420011,YELLOWFIN TUNA HEAD (FROZEN),KGM,Philippines," 5,550.20 "," 140,902.37 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,Mauritius," 75,579.54 "," 1,749,377.25 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,Spain," 608,938.90 "," 15,097,942.86 "
303440010,BIGEYE TUNA (FROZEN),KGM,Vietnam," 67,419.00 "," 1,847,473.61 "
303490000,"FROZEN TUNAS, NES",KGM,Thailand," 10,627.17 "," 656,092.43 "
303490000,"FROZEN TUNAS, NES",KGM,Vietnam," 81,495.96 "," 2,607,883.29 "
303540099,FROZEN MACKEREL USED AS BAIT,KGM,Sri Lanka," 12,000.00 "," 166,212.00 "
303570000,FROZEN SWORDFISH (XIPHIAS GLADIUS),KGM,Trinidad and Tobago," 15,000.00 "," 345,937.50 "
303890010,FROZEN GROUPER,KGM,Philippines, 210.00 ," 5,797.49 "
303890098,FROZEN FISH NES,KGM,Vietnam," 2,400.00 "," 62,159.44 "
304491010,FRESH OR CHILLED SKIPJACK FILLET,KGM,France, 74.10 ," 2,543.30 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,Ireland," 1,245.46 "," 105,387.71 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,Netherlands," 5,166.47 "," 167,623.24 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,United States," 2,943.30 "," 153,081.26 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Belgium," 2,695.93 "," 283,495.49 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,France," 1,226,059.63 "," 108,046,646.64 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Hong Kong," 4,692.82 "," 438,187.07 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Netherlands," 101,665.67 "," 3,800,811.59 "
304491013,YELLOWFIN TUNA LOINS (FRESH OR CHILLED),KGM,Reunion," 1,754.40 "," 53,962.84 "
304491015,SKIPJACK LOIN (FRESH OR CHILLED),KGM,Germany, 12.96 , 197.57 
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Czech Republic, 57.25 ," 7,050.91 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Denmark, 310.15 ," 38,198.07 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Italy," 553,710.06 "," 51,424,208.31 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Poland," 21,523.15 "," 662,278.43 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Switzerland," 154,213.59 "," 18,067,963.05 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,Ukraine," 1,971.02 "," 60,643.48 "
304491019,YELLOWFIN TUNA CHUNK (FRESH OR CHILLED),KGM,United Arab Emirates," 12,690.11 "," 2,278,919.57 "
304491021,YELLOWFIN TUNA STEAK (FRESH OR CHILLED),KGM,Germany," 13,383.99 "," 825,751.92 "
304491022,BIGEYE TUNA FILLETS (FRESH OR CHILLED),KGM,France, 15.10 , 464.78 
304491022,BIGEYE TUNA FILLETS (FRESH OR CHILLED),KGM,Singapore, 949.00 ," 29,210.22 "
304491099,TUNA FILLETS (FRESH OR CHILLED) NES,KGM,Italy, 53.19 ," 3,609.08 "
304870012,YELLOWFIN TUNA LOIN (FROZEN),KGM,Italy," 1,414.78 "," 21,773.46 "
304870014,BELLY FLAP (YELLOWFIN TUNA) FROZEN,KGM,Spain," 150,000.00 "," 8,428,978.01 "
304870015,YELLOWFIN TUNA STEAK (FROZEN),KGM,Germany, 300.44 ," 18,482.76 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,Netherlands, 348.30 ," 8,040.50 "
304870016,YELLOWFIN TUNA CHUNK (FROZEN),KGM,Philippines," 6,600.00 "," 61,016.22 "
305491013,"FISH CHIPS (SKIPJACK,TUNA) SMOKED",KGM,Sri Lanka," 2,465.00 "," 40,566.29 "
305499017,"MARLIN (SMOKED)""THALAPATHA""(HIBARU)",KGM,Sri Lanka," 89,516.00 "," 5,026,530.15 "
305591010,SKIPJACK (DRIED),KGM,Morocco," 2,030.00 "," 145,273.90 "
305591010,SKIPJACK (DRIED),KGM,Sri Lanka," 1,191,984.72 "," 31,683,201.83 "
305591015,"TUNA SALTED ,DRIED",KGM,Sri Lanka," 19,036.00 "," 374,278.42 "
305591016,"SKIPJACK TUNA BELLY FLAP(DRIED,SALTED IN BRINE)",KGM,Sri Lanka," 2,825.00 "," 43,476.75 "
305599010,"REEF FISH (SALTED DRIED) ""MULLET""(HULHUN'BU MAS)",KGM,Hong Kong, 393.00 ," 6,047.01 "
305599011,"VAHOO (SALTED DRIED) ""SEER"" (KURUMAS)",KGM,Sri Lanka," 5,606.00 "," 302,701.60 "
305599011,"VAHOO (SALTED DRIED) ""SEER"" (KURUMAS)",KGM,Thailand, 153.66 ," 6,844.15 "
305599015,"DOLPHIN FISH(SALTED DRIED)""VANNA"" (FIYALA)",KGM,Sri Lanka, 912.00 ," 43,559.45 "
305699099,"FISH,(WHETHER OR NOT SALTED IN BRINE) BUT NOT SMOKED OR DRIED",KGM,Sri Lanka," 2,021.00 "," 31,104.83 "
308119000,SEA CUCUMBER (FRESH OR CHILLED),KGM,Hong Kong, 822.00 ," 12,644.42 "
308190010,"SEA CUCUMBER (FROZEN,SMOKED,SALTED OR IN BRINE)",KGM,Sri Lanka, 140.00 ," 4,307.10 "
308190011,SEA CUCUMBER (DRIED),KGM,Hong Kong," 50,098.20 "," 4,457,579.45 "
308190011,SEA CUCUMBER (DRIED),KGM,Malaysia," 25,334.80 "," 923,376.06 "
802909099,NUTS (FRESH OR DRIED) NOT SPECIFIED,KGM,Bahrain," 1,095.00 "," 197,753.70 "
1604140010,"OTHER TUNA (PREPARED, PRESERVED), NES",KGM,Netherlands," 188,904.42 "," 12,080,082.40 "
1604140010,"OTHER TUNA (PREPARED, PRESERVED), NES",KGM,United States," 154,704.00 "," 8,665,697.07 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,Italy," 108,025.92 "," 9,693,194.75 "
1604140011,"SKIPJACK (PREPARED, PRESERVED)",KGM,Switzerland," 275,256.00 "," 24,367,364.81 "
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,Bangladesh," 2,803,000.00 "," 40,676,811.55 "
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,Japan," 5,740.00 "," 65,239.36 "
2301200000,"FLOURS, MEALS AND PELLETS OF FISH, ETC, UNFIT FOR HUMAN CONSUMPTION",KGM,Sri Lanka," 138,000.00 "," 1,953,612.42 "
3915900000,"WASTE, PARINGS AND SCRAP, OF OTHER PLASTICS, NES",KGM,India," 70,000.00 "," 32,298.00 "
3924100000,"TABLEWARE AND KITCHENWARE OF PLASTICS,NES",NMB,Malaysia, 900.00 ," 3,458.70 "
3924100000,"TABLEWARE AND KITCHENWARE OF PLASTICS,NES",NMB,Turkey, 300.00 ," 1,153.69 "
3926909010,"ARTICLES OF PLASTIC,NES",NMB,Belarus, 50.00 , 192.31 
3926909010,"ARTICLES OF PLASTIC,NES",NMB,Denmark, 60.00 , 230.78 
3926909010,"ARTICLES OF PLASTIC,NES",NMB,Italy, 100.00 , 384.75 
3926909010,"ARTICLES OF PLASTIC,NES",NMB,Russia, 50.00 , 192.31 
3926909013,"ARTICLES OF PLASTIC,NES",KGM,Taiwan," 63,000.00 "," 371,184.46 "
4202120000,"TRUNKS, SUIT-CASES..., ETC, WITH OUTER SURFACE OF PLASTIC OR TEXTILES",NMB,Germany," 4,500.00 "," 20,766.37 "
4202120000,"TRUNKS, SUIT-CASES..., ETC, WITH OUTER SURFACE OF PLASTIC OR TEXTILES",NMB,Singapore, 500.00 ," 2,309.25 "
4202120000,"TRUNKS, SUIT-CASES..., ETC, WITH OUTER SURFACE OF PLASTIC OR TEXTILES",NMB,Spain," 4,000.00 "," 18,459.00 "
4202320000,"ARTICLES NORMALLY CARRIED IN POCKET OR HANDBAG, OF SHEETING OF PLASTICS OR TEXTILES",NMB,Japan, 340.00 ," 1,569.26 "
4202320000,"ARTICLES NORMALLY CARRIED IN POCKET OR HANDBAG, OF SHEETING OF PLASTICS OR TEXTILES",NMB,Russia, 100.00 , 461.56 
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,Ireland, 50.00 , 153.85 
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,Italy, 585.00 ," 2,415.68 "
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,Japan, 170.00 , 523.09 
4202920000,"CASES AND CONTAINERS, NES, WITH OUTER SURFACE OF SHEETINGOF PLASTIC OR TEXTILES",NMB,Russia, 50.00 , 153.85 
4420100000,"STATUETTES AND OTHER ORNAMENTS, OF WOOD",NMB,Malaysia, 9.00 ," 14,846.52 "
4420900000,"WOOD MARQUETRY,INLAID WOOD;CASKETS AND SIMILAR CASES OF WOOD, NES",NMB,Great Britain, 20.00 ," 15,378.50 "
4820100000,"REGISTERS, ACCOUNT BOOKS,ORDER AND RECEIPT BOOKS, NOTE BOOKS, LETTER PADS OF PAPER",NMB,Germany, 120.00 , 369.18 
4820100000,"REGISTERS, ACCOUNT BOOKS,ORDER AND RECEIPT BOOKS, NOTE BOOKS, LETTER PADS OF PAPER",NMB,Singapore, 120.00 , 369.48 
4820100000,"REGISTERS, ACCOUNT BOOKS,ORDER AND RECEIPT BOOKS, NOTE BOOKS, LETTER PADS OF PAPER",NMB,Turkey, 25.00 , 76.91 
4823900012,"ARTICLES OF PAPER,NES",NMB,Turkey, 120.00 , 369.18 
4901100000,"PRINTED BOOKS, BROCHURES, LEAFLETS, ETC, IN SINGLE SHEETS",NMB,Malaysia," 2,500.00 "," 7,696.00 "
4901100000,"PRINTED BOOKS, BROCHURES, LEAFLETS, ETC, IN SINGLE SHEETS",NMB,Turkey, 880.00 ," 3,407.22 "
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,Belarus, 150.00 , 461.55 
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,Ireland, 250.00 , 769.25 
4901990099,"BROCHURES, LEAFLETS AND SIMILAR PRINTED MATTER, ( EXCL. SINGLE SHEETS)",NMB,Sri Lanka," 2,260.00 "," 173,822.24 "
4909000013,CARD PRINTED NOT SPECIFIED,NMB,Turkey," 36,000.00 "," 5,540.40 "
4911990000,"OTHER PRINTED MATTER, NES",NMB,China, 200.00 , 615.60 
4911990000,"OTHER PRINTED MATTER, NES",NMB,Denmark, 160.00 , 338.47 
