MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2020,,,* Subjected to Post Modification,, Updated on : 28/02/2021 
,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
303420010,YELLOWFIN TUNA (FROZEN),KGM,SPAIN," 166,356.36 "," 3,595,355.20 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,TAIWAN," 10,008.00 "," 153,923.04 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,THAILAND," 6,864,991.53 "," 179,843,070.46 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,UNITED STATES," 217,013.08 "," 16,711,655.10 "
303420010,YELLOWFIN TUNA (FROZEN),KGM,VIETNAM," 107,438.39 "," 5,040,787.34 "
303420011,YELLOWFIN TUNA HEAD (FROZEN),KGM,SPAIN, 222.00 ," 10,238.08 "
303420012,"YELLOWFIN TUNA SKIN EDIBLE (FROZEN) ""THUNNUS ALABACARES""",KGM,SERBIA," 25,000.00 "," 1,153,125.00 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,COLOMBIA," 27,040.58 "," 613,725.04 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,COSTA RICA," 424,573.00 "," 13,938,131.31 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,HONG KONG," 216,000.00 "," 2,052,551.68 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,JAPAN," 75,000.00 "," 1,672,303.12 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,MAURITIUS," 295,212.00 "," 7,799,112.14 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,PHILIPPINES," 6,700.00 "," 247,511.40 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,SPAIN," 531,994.25 "," 12,146,581.80 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,THAILAND," 38,609,559.78 "," 887,400,415.20 "
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,VIETNAM," 1,094,512.12 "," 23,962,330.67 "
303490000,"FROZEN TUNAS, NES",KGM,UNITED ARAB EMIRATES," 2,500.00 "," 38,475.00 "
303490000,"FROZEN TUNAS, NES",KGM,UNITED STATES, 404.00 ," 18,634.50 "
303540099,FROZEN MACKEREL USED AS BAIT,KGM,SRI LANKA," 39,000.00 "," 299,861.24 "
304491010,FRESH OR CHILLED SKIPJACK FILLET,KGM,GERMANY, 202.58 ," 14,318.32 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,CANADA, 3.40 , 209.10 
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,FRANCE, 46.00 ," 1,791.95 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,GERMANY," 20,888.20 "," 1,147,671.07 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,GREAT BRITAIN, 5.68 , 349.66 
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,ITALY, 589.83 ," 36,647.29 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,NETHERLANDS, 905.27 ," 54,572.04 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,SWITZERLAND," 5,421.05 "," 504,412.16 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,TAIWAN, 40.00 , 614.90 
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,THAILAND, 15.59 ," 4,083.66 "
304491011,YELLOWFIN TUNA FILLET (FRESH OR CHILLED),KGM,UNITED ARAB EMIRATES, 9.00 , 138.51 
