Statistics Section,,,,,,,
Maldives Customs Service,,,,,,,
,,,,,,,
,,,,,,,
Total Exports In 2015,,,,,,,
,,,,,,,
Code,Description,Unit,Country of Destination, Quantity , FOB (MVR) ,,
303410000,Frozen Albacore Or Longfinned Tunas,Kgs,SINGAPORE," 1,767.00 "," 76,062.54 ",,
303420010,Yellowfin Tuna (Frozen),Kgs,SWITZERLAND," 8,589.30 "," 845,187.12 ",,
303420010,Yellowfin Tuna (Frozen),Kgs,GERMANY," 11,797.97 "," 438,650.19 ",,
303420010,Yellowfin Tuna (Frozen),Kgs,FRANCE," 12,889.60 "," 1,193,640.27 ",,
303420010,Yellowfin Tuna (Frozen),Kgs,U.K, 206.10 ," 18,991.08 ",,
303420010,Yellowfin Tuna (Frozen),Kgs,JAPAN," 34,902.00 "," 1,663,043.30 ",,
303420010,Yellowfin Tuna (Frozen),Kgs,SRI LANKA," 87,519.97 "," 982,752.97 ",,
303420010,Yellowfin Tuna (Frozen),Kgs,PHILIPPINES," 8,995.82 "," 84,327.54 ",,
303420010,Yellowfin Tuna (Frozen),Kgs,SINGAPORE," 21,461.00 "," 923,595.59 ",,
303420010,Yellowfin Tuna (Frozen),Kgs,THAILAND," 4,817,708.40 "," 128,072,411.63 ",,
303420010,Yellowfin Tuna (Frozen),Kgs,U.S.A," 119,113.47 "," 3,434,751.83 ",,
303430000,Frozen Skipjack Or Stripe-Bellied Bonito,Kgs,DENMARK," 5,000.00 "," 485,455.00 ",,
303430000,Frozen Skipjack Or Stripe-Bellied Bonito,Kgs,JAPAN, 109.00 ," 5,194.35 ",,
303430000,Frozen Skipjack Or Stripe-Bellied Bonito,Kgs,SINGAPORE, 188.00 ," 8,091.14 ",,
303430000,Frozen Skipjack Or Stripe-Bellied Bonito,Kgs,THAILAND," 19,635,952.00 "," 429,294,238.04 ",,
303430000,Frozen Skipjack Or Stripe-Bellied Bonito,Kgs,U.S.A, 3.64 , 217.51 ,,
303430000,Frozen Skipjack Or Stripe-Bellied Bonito,Kgs,VIETNAM," 50,000.00 "," 1,245,375.00 ",,
303440010,Bigeye Tuna (Frozen),Kgs,SINGAPORE," 261,392.00 "," 11,249,266.09 ",,
303440010,Bigeye Tuna (Frozen),Kgs,THAILAND," 61,496.00 "," 1,222,082.22 ",,
303570000,Frozen Swordfish (Xiphias Gladius),Kgs,JAPAN," 123,168.00 "," 5,869,540.21 ",,
303570000,Frozen Swordfish (Xiphias Gladius),Kgs,SINGAPORE," 83,470.00 "," 3,592,246.27 ",,
303570000,Frozen Swordfish (Xiphias Gladius),Kgs,VIETNAM," 49,500.00 "," 1,109,350.82 ",,
303890012,Frozen Marlin,Kgs,JAPAN," 58,445.00 "," 2,785,181.75 ",,
303890012,Frozen Marlin,Kgs,SRI LANKA," 89,506.40 "," 1,679,063.37 ",,
303890012,Frozen Marlin,Kgs,SINGAPORE," 50,133.00 "," 2,157,911.13 ",,
303890099,Frozen Reef Fish Nes,Kgs,JAPAN," 6,393.00 "," 304,656.74 ",,
303890099,Frozen Reef Fish Nes,Kgs,SINGAPORE," 8,905.00 "," 383,359.53 ",,
303890099,Frozen Reef Fish Nes,Kgs,VIETNAM," 4,500.00 "," 67,041.14 ",,
304450000,"Fillet Of Swordfish (Xiphias Gladius) , Fresh Or Chilled",Kgs,MALAYSIA, 20.47 , 651.27 ,,
304491011,Yellowfin Tuna Fillet (Fresh Or Chilled),Kgs,SWITZERLAND," 7,555.31 "," 1,456,789.03 ",,
304491011,Yellowfin Tuna Fillet (Fresh Or Chilled),Kgs,CHINA, 9.94 , 461.89 ,,
304491011,Yellowfin Tuna Fillet (Fresh Or Chilled),Kgs,CZECH REPUBLIC," 11,404.90 "," 294,283.58 ",,
304491011,Yellowfin Tuna Fillet (Fresh Or Chilled),Kgs,GERMANY," 4,714.85 "," 298,101.73 ",,
304491011,Yellowfin Tuna Fillet (Fresh Or Chilled),Kgs,FRANCE, 574.90 ," 79,598.34 ",,
304491011,Yellowfin Tuna Fillet (Fresh Or Chilled),Kgs,U.K, 336.30 ," 49,363.69 ",,
304491011,Yellowfin Tuna Fillet (Fresh Or Chilled),Kgs,ITALY," 1,036.05 "," 14,354.29 ",,
304491011,Yellowfin Tuna Fillet (Fresh Or Chilled),Kgs,NETHERLANDS, 137.14 ," 25,185.50 ",,
304491011,Yellowfin Tuna Fillet (Fresh Or Chilled),Kgs,SINGAPORE, 5.23 , 152.78 ,,
304491011,Yellowfin Tuna Fillet (Fresh Or Chilled),Kgs,THAILAND, 7.82 ," 1,327.75 ",,
304491011,Yellowfin Tuna Fillet (Fresh Or Chilled),Kgs,U.S.A, 10.26 ," 1,286.98 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,U.A.E," 1,481.33 "," 194,983.55 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,AUSTRALIA, 10.55 , 106.94 ,,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,BELGIUM," 58,421.08 "," 3,539,506.30 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,CANADA," 3,443.31 "," 321,333.48 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,SWITZERLAND," 131,596.78 "," 36,843,311.98 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,CHINA," 6,066.83 "," 280,380.21 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,CYPRUS, 131.75 ," 36,170.89 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,CZECH REPUBLIC," 17,021.23 "," 896,846.99 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,GERMANY," 443,011.26 "," 38,631,719.02 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,DENMARK, 307.70 ," 47,270.41 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,SPAIN, 729.12 ," 56,585.36 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,FRANCE," 449,883.59 "," 47,498,048.63 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,U.K," 534,379.95 "," 69,776,498.42 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,IRELAND," 130,407.59 "," 11,024,167.51 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,ITALY," 563,944.69 "," 59,435,907.57 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,JAPAN, 7.64 ," 2,143.73 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,KAZAKHSTAN, 87.00 ," 41,587.54 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,SRI LANKA, 419.75 ," 44,888.66 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,MALAYSIA, 840.66 ," 66,448.85 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,NETHERLANDS," 302,532.14 "," 34,319,911.90 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,NORWAY," 1,263.54 "," 444,595.95 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,POLAND," 4,410.13 "," 287,015.04 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,RUSSIAN FEDERATION, 87.69 ," 25,967.51 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,SWEDEN," 1,166.73 "," 105,637.65 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,SINGAPORE, 593.50 ," 128,092.22 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,THAILAND," 1,259.00 "," 117,703.32 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,U.S.A," 44,977.08 "," 1,408,240.69 ",,
304491013,Yellowfin Tuna Loins (Fresh Or Chiled),Kgs,SOUTH AFRICA," 1,303.41 "," 274,364.49 ",,
304491015,Skipjack Loin (Fresh Or Chilled),Kgs,SWITZERLAND, 7.02 , 204.02 ,,
304491015,Skipjack Loin (Fresh Or Chilled),Kgs,NETHERLANDS, 278.58 ," 16,166.41 ",,
304491015,Skipjack Loin (Fresh Or Chilled),Kgs,U.S.A, 1.17 , 88.24 ,,
304491017,Bigeye Tuna Loins (Fresh Or Chilled),Kgs,FRANCE," 7,240.57 "," 1,336,422.32 ",,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,U.A.E, 406.40 ," 54,495.48 ",,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,AUSTRALIA, 791.28 ," 81,681.48 ",,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,BELGIUM," 33,025.44 "," 1,059,828.99 ",,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,CANADA," 1,563.29 "," 559,339.50 ",,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,SWITZERLAND," 139,092.02 "," 16,917,041.43 ",,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,CHINA, 364.03 ," 69,655.58 ",,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,CYPRUS, 974.37 ," 231,771.77 ",,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,CZECH REPUBLIC," 15,953.69 "," 1,071,254.67 ",,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,GERMANY," 340,549.81 "," 32,110,236.71 ",,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,DENMARK," 1,746.30 "," 271,591.23 ",,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,SPAIN, 5.50 , 169.02 ,,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,FRANCE," 417,829.47 "," 71,051,680.42 ",,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,U.K," 89,481.06 "," 13,899,784.89 ",,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,ITALY," 283,306.25 "," 46,076,901.68 ",,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,MALAYSIA, 300.83 ," 61,403.09 ",,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,NETHERLANDS," 180,975.14 "," 26,547,623.29 ",,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,POLAND," 4,134.75 "," 653,910.19 ",,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,SINGAPORE, 19.28 , 738.58 ,,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,THAILAND," 1,415.95 "," 182,734.28 ",,
304491019,Yellowfin Tuna Chunk (Fresh Or Chilled),Kgs,U.S.A," 104,469.29 "," 8,815,749.10 ",,
304491021,Yellowfin Tuna Steak (Fresh Or Chilled),Kgs,SWITZERLAND, 22.91 ," 1,543.49 ",,
304491021,Yellowfin Tuna Steak (Fresh Or Chilled),Kgs,CHINA, 191.97 ," 29,317.78 ",,
304491021,Yellowfin Tuna Steak (Fresh Or Chilled),Kgs,GERMANY," 25,128.31 "," 732,147.20 ",,
304491021,Yellowfin Tuna Steak (Fresh Or Chilled),Kgs,FRANCE, 39.48 ," 6,928.48 ",,
304491021,Yellowfin Tuna Steak (Fresh Or Chilled),Kgs,U.K, 119.85 ," 17,581.02 ",,
304491021,Yellowfin Tuna Steak (Fresh Or Chilled),Kgs,NETHERLANDS," 10,000.00 "," 1,476,576.50 ",,
304491021,Yellowfin Tuna Steak (Fresh Or Chilled),Kgs,U.S.A, 15.49 , 412.51 ,,
304491099,Tuna Fillets (Fresh Or Chilled) Nes,Kgs,GERMANY, 10.11 ," 1,436.23 ",,
304491099,Tuna Fillets (Fresh Or Chilled) Nes,Kgs,ITALY, 89.44 ," 6,186.87 ",,
304499011,Fresh Or Chilled Grouper Fillet,Kgs,SRI LANKA, 3.60 , 55.35 ,,
304499011,Fresh Or Chilled Grouper Fillet,Kgs,MALAYSIA, 9.01 , 418.21 ,,
304499012,Marlin Loin (Fresh Or Chilled),Kgs,SWITZERLAND, 10.43 , 607.37 ,,
304499013,Reef Fish Loin (Fresh Or Chilled),Kgs,SWITZERLAND, 61.53 ," 2,351.20 ",,
304499013,Reef Fish Loin (Fresh Or Chilled),Kgs,NETHERLANDS, 90.49 ," 3,617.27 ",,
304540000,Fresh Or Chilled Meat And Loins Of Swordfish(Xiphias Gladius),Kgs,SWITZERLAND," 1,133.03 "," 30,271.59 ",,
304540000,Fresh Or Chilled Meat And Loins Of Swordfish(Xiphias Gladius),Kgs,GERMANY, 117.23 ," 2,594.61 ",,
304540000,Fresh Or Chilled Meat And Loins Of Swordfish(Xiphias Gladius),Kgs,MALAYSIA, 8.90 , 273.58 ,,
304540000,Fresh Or Chilled Meat And Loins Of Swordfish(Xiphias Gladius),Kgs,NETHERLANDS, 82.50 ," 3,634.30 ",,
304540000,Fresh Or Chilled Meat And Loins Of Swordfish(Xiphias Gladius),Kgs,SINGAPORE, 7.16 , 109.99 ,,
304540000,Fresh Or Chilled Meat And Loins Of Swordfish(Xiphias Gladius),Kgs,THAILAND, 124.09 ," 6,561.78 ",,
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,Kgs,SWITZERLAND, 32.03 ," 2,753.14 ",,
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,Kgs,CHINA, 11.33 , 739.60 ,,
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,Kgs,CZECH REPUBLIC, 3.34 , 102.73 ,,
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,Kgs,GERMANY, 807.85 ," 22,358.22 ",,
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,Kgs,FRANCE," 9,553.06 "," 528,008.05 ",,
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,Kgs,U.K, 51.73 ," 3,132.25 ",,
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,Kgs,IRELAND, 91.16 ," 3,235.31 ",,
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,Kgs,ITALY, 486.22 ," 4,056.38 ",,
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,Kgs,SRI LANKA, 50.10 ," 2,888.18 ",,
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,Kgs,NETHERLANDS, 16.05 ," 1,067.66 ",,
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,Kgs,PHILIPPINES," 8,024.79 "," 203,545.73 ",,
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,Kgs,RUSSIAN FEDERATION, 4.64 , 748.82 ,,
304591013,Belly Flap (Yellowfin Tuna) Fresh Or Chilled,Kgs,SINGAPORE, 69.10 ," 2,661.45 ",,
304870010,Skipjack Fillet (Frozen),Kgs,SWITZERLAND, 0.43 , 3.68 ,,
304870010,Skipjack Fillet (Frozen),Kgs,U.S.A, 83.14 ," 8,823.04 ",,
304870011,Yellowfin Tuna Fillet (Frozen),Kgs,SRI LANKA," 27,000.00 "," 257,377.50 ",,
304870012,Yellowfin Tuna Loin (Frozen),Kgs,CHINA, 4.00 , 184.60 ,,
304870012,Yellowfin Tuna Loin (Frozen),Kgs,U.K," 39,992.00 "," 4,345,553.51 ",,
304870012,Yellowfin Tuna Loin (Frozen),Kgs,NETHERLANDS," 1,800.00 "," 210,317.68 ",,
304870012,Yellowfin Tuna Loin (Frozen),Kgs,U.S.A," 2,800.00 "," 293,342.11 ",,
304870014,Belly Flap (Yellowfin Tuna) Frozen,Kgs,CHINA, 0.50 , 15.38 ,,
304870014,Belly Flap (Yellowfin Tuna) Frozen,Kgs,PHILIPPINES," 11,772.67 "," 162,401.32 ",,
304870015,Yellowfin Tuna Steak (Frozen),Kgs,CHINA, 0.98 , 88.01 ,,
304870015,Yellowfin Tuna Steak (Frozen),Kgs,GERMANY," 43,831.49 "," 5,364,473.21 ",,
304870015,Yellowfin Tuna Steak (Frozen),Kgs,U.K," 5,706.00 "," 175,167.78 ",,
304870015,Yellowfin Tuna Steak (Frozen),Kgs,NETHERLANDS," 14,149.31 "," 1,921,081.23 ",,
304870015,Yellowfin Tuna Steak (Frozen),Kgs,SINGAPORE, 10.19 , 718.99 ,,
304870015,Yellowfin Tuna Steak (Frozen),Kgs,U.S.A," 8,328.52 "," 1,200,674.68 ",,
